# obs, M, sigma_up, sigma_do, latexCite
1, 1.970, 0.040, 0.040, PDemorest:2010
2, 1.928, 0.017, 0.017, EFonseca:2016
3, 1.908, 0.016, 0.016, ZArzoumanian:2018
4, 1.922, 0.015, 0.015, MdFAlam:2021
5, 1.937, 0.014, 0.014, GAgazie:2023
