Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.00, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.00, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.00, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.00, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.01, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.01, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.01, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.01, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.01, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.02, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.02, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.02, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.02, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.02, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.03, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.03, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.03, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.03, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.03, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.04, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.04, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.04, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.04, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.04, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.05, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.05, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.05, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.05, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.05, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.06, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.06, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.06, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.06, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.06, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.07, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.07, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.07, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.07, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.07, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.08, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.08, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.08, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.08, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.08, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.09, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.09, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.09, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.09, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.09, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.10, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.10, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.10, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.10, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.10, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.11, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.11, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.11, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.11, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.11, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.12, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.12, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.12, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.12, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.12, 116.36, 249.57, -0.00, 2.52, -1.15
