# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.00199,0.00217
1.0,0.00459,0.00502
1.05,0.00955,0.01059
1.1,0.01786,0.01999
1.15,0.03036,0.03438
1.2,0.04769,0.05473
1.25,0.06998,0.08162
1.3,0.09681,0.1151
1.35,0.12708,0.15462
1.4,0.15911,0.19905
1.45,0.19077,0.24684
1.5,0.21954,0.29595
1.55,0.24267,0.34384
1.6,0.25749,0.38739
1.65,0.26178,0.42297
1.7,0.25413,0.44664
1.75,0.23446,0.45466
1.8,0.20435,0.44429
1.85,0.16687,0.41442
1.9,0.1261,0.36596
1.95,0.08654,0.30225
2.0,0.05247,0.22939
2.05,0.02698,0.15579
2.1,0.01109,0.0909
2.15,0.00346,0.04281
2.2,0.0,0.01479
