# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.00205,0.0022
1.0,0.0046,0.00496
1.05,0.00921,0.01006
1.1,0.01642,0.01806
1.15,0.02624,0.02917
1.2,0.03821,0.04302
1.25,0.05119,0.05855
1.3,0.06349,0.0741
1.35,0.07312,0.08761
1.4,0.07821,0.09704
1.45,0.07745,0.1008
1.5,0.07045,0.09806
1.55,0.05798,0.08896
1.6,0.04213,0.07469
1.65,0.02598,0.05732
1.7,0.01269,0.03951
1.75,0.00465,0.02384
1.8,0.0,0.01221
1.85,0.0,0.00538
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
