# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.0,0.0
1.0,0.00117,0.00134
1.05,0.00269,0.00293
1.1,0.00467,0.00513
1.15,0.00752,0.00838
1.2,0.01136,0.01282
1.25,0.01605,0.01832
1.3,0.02136,0.0248
1.35,0.02702,0.03223
1.4,0.03275,0.04046
1.45,0.03831,0.04953
1.5,0.04358,0.05968
1.55,0.04847,0.07129
1.6,0.05296,0.08496
1.65,0.05705,0.10145
1.7,0.06076,0.12175
1.75,0.06423,0.14707
1.8,0.06778,0.17893
1.85,0.07204,0.21904
1.9,0.07779,0.26909
1.95,0.08606,0.33046
2.0,0.09811,0.40422
2.05,0.11553,0.4911
2.1,0.14041,0.59148
2.15,0.17557,0.7055
2.2,0.22509,0.83353
