# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00947,0.00947
0.1,0.08016,0.08016
0.15,0.21818,0.21819
0.2,0.40835,0.40838
0.25,0.63588,0.63596
0.3,0.88794,0.88811
0.35,1.15323,1.15363
0.4,1.42154,1.42243
0.45,1.68343,1.68521
0.5,1.92996,1.93327
0.55,2.15265,2.15842
0.6,2.34316,2.35268
0.65,2.49384,2.50886
0.7,2.59682,2.61957
0.75,2.64532,2.67858
0.8,2.63293,2.68004
0.85,2.55433,2.61908
0.9,2.40607,2.49248
0.95,2.18722,2.29905
1.0,1.90091,2.04075
1.05,1.55641,1.72405
1.1,1.17244,1.36237
1.15,0.78088,0.97893
1.2,0.42857,0.60948
1.25,0.16954,0.30112
1.3,0.0364,0.09901
1.35,0.00213,0.01438
1.4,0.0,0.0
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.00402
2.2,0.0,0.00798
