# from L.G. Cao, U. Lombardo, C.W. Shen, N.V. Giai, Phys. Rev. C 73, 014313 (2006)
# with beta = 0.4
# \rho  proton    neutron
0.08    0.8834     0.9509
0.10    0.8700     0.9371
0.12    0.8373     0.9224
0.14    0.8151     0.9003
0.16    0.7897     0.8894
0.18    0.7818     0.8782
0.20    0.7628     0.8584
0.22    0.7470     0.8470
