# \rho        binding energy
0.00025	0.0849
0.0005  	0.14
0.00075	0.159
0.001	        0.164
0.00125	0.152
0.0015	0.129
0.00175	0.0754
0.002	0.01
0.003	-0.27
0.004	-0.64
0.01	      -2.04
0.02	      -3.2
0.03	     -5.86
0.04	     -6.94
0.06	     -9.16
0.08	     -10.74
0.1	     -12.1
0.12      -13.27
0.14	    -13.98
0.16	    -14.36
0.18     -14.52
0.2	   -14.39
0.22	   -14.04
0.24	   -13.46
0.26	   -12.73
0.28    -11.71
0.3	   -10.44
0.32	   -9.04
0.34	   -7.51
