#       rho        V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total           FFG          E_total

   0.100000E-01   0.134311E+00  -0.223553E+01  -0.499280E+01   0.133140E-01  -0.708071E+01   0.348172E+01  -0.359899E+01
   0.500000E-01   0.106469E+01  -0.761465E+01  -0.120764E+02  -0.947660E-01  -0.187212E+02   0.101806E+02  -0.854055E+01
   0.750000E-01   0.178155E+01  -0.102429E+02  -0.150286E+02  -0.157515E+00  -0.236475E+02   0.133404E+02  -0.103071E+02
   0.100000E+00   0.253697E+01  -0.127333E+02  -0.176549E+02  -0.213517E+00  -0.280647E+02   0.161607E+02  -0.119040E+02
   0.125000E+00   0.333544E+01  -0.150978E+02  -0.200618E+02  -0.231969E+00  -0.320562E+02   0.187528E+02  -0.133034E+02
   0.150000E+00   0.417228E+01  -0.173766E+02  -0.223271E+02  -0.206209E+00  -0.357377E+02   0.211765E+02  -0.145611E+02
   0.175000E+00   0.503763E+01  -0.195460E+02  -0.242621E+02  -0.104937E+00  -0.388754E+02   0.234685E+02  -0.154069E+02
   0.200000E+00   0.591717E+01  -0.216194E+02  -0.260113E+02   0.506486E-01  -0.416629E+02   0.256535E+02  -0.160094E+02
   0.250000E+00   0.770360E+01  -0.255032E+02  -0.290408E+02   0.533218E+00  -0.463071E+02   0.297683E+02  -0.165388E+02
   0.300000E+00   0.956879E+01  -0.291193E+02  -0.315919E+02   0.130526E+01  -0.498372E+02   0.336156E+02  -0.162216E+02
   0.350000E+00   0.115243E+02  -0.325131E+02  -0.337751E+02   0.238659E+01  -0.523773E+02   0.372540E+02  -0.151233E+02
   0.400000E+00   0.135427E+02  -0.356826E+02  -0.356384E+02   0.375454E+01  -0.540237E+02   0.407224E+02  -0.133013E+02
