
l0,l1,fidelity,cs0,cs1
0,14,0.9876,0,0
1,0,0.9546,0,0
2,3,0.9952,0,0
2,1,0.977,0,0
3,4,0.9951,0,0
5,6,0.9956,0,0
5,4,0.9946,0,0
6,7,0.9922,0,0
8,7,0.9888,0,0
9,10,0.993,0,0
9,8,0.9936,0,0
11,10,0.979,0,0
12,11,0.974,0,0
12,13,0.9929,0,0
12,17,0.9962,0,0
14,18,0.9932,0,0
15,22,0.9879,0,0
15,4,0.9905,0,0
16,26,0.9927,0,0
16,8,0.9934,0,0
17,30,0.9953,0,0
19,18,0.9918,0,0
19,20,0.9955,0,0
20,21,0.9946,0,0
20,33,0.9959,0,0
21,22,0.9908,0,0
23,22,0.9935,0,0
24,23,0.993,0,0
24,25,0.9939,0,0
25,26,0.9927,0,0
26,27,0.994,0,0
27,28,0.9954,0,0
29,30,0.995,0,0
29,28,0.9918,0,0
31,30,0.9945,0,0
32,31,0.9944,0,0
33,39,0.9935,0,0
34,24,0.9926,0,0
35,47,0.9852,0,0
35,28,0.9936,0,0
36,51,0.9937,0,0
36,32,0.995,0,0
38,39,0.9947,0,0
38,37,0.9961,0,0
40,39,0.9911,0,0
41,40,0.9857,0,0
41,42,0.9945,0,0
43,42,0.9926,0,0
43,34,0.9939,0,0
44,43,0.9914,0,0
45,46,0.9952,0,0
45,44,0.9958,0,0
47,48,0.9818,0,0
47,46,0.9746,0,0
48,49,0.0,0,0
49,55,0.0,0,0
50,49,0.0,0,0
50,51,0.0,0,0
52,56,0.9924,0,0
52,37,0.9902,0,0
53,60,0.9915,0,0
53,41,0.9923,0,0
54,64,0.9868,0,0
54,45,0.995,0,0
56,57,0.9936,0,0
57,58,0.9945,0,0
59,60,0.992,0,0
59,58,0.9941,0,0
60,61,0.9678,0,0
62,61,0.9922,0,0
62,72,0.9946,0,0
63,64,0.9506,0,0
63,62,0.9913,0,0
65,64,0.9906,0,0
66,65,0.9886,0,0
67,66,0.9857,0,0
67,68,0.0,0,0
68,55,0.0,0,0
69,70,0.9927,0,0
69,68,0.0,0,0
71,77,0.9628,0,0
71,58,0.9745,0,0
73,85,0.9917,0,0
73,66,0.9788,0,0
74,70,0.9926,0,0
75,90,0.9899,0,0
75,76,0.9774,0,0
76,77,0.9927,0,0
77,78,0.9954,0,0
79,78,0.9945,0,0
79,80,0.9929,0,0
81,80,0.9846,0,0
81,72,0.9836,0,0
82,81,0.9913,0,0
82,83,0.991,0,0
83,84,0.9911,0,0
84,85,0.9871,0,0
86,85,0.9929,0,0
87,88,0.9931,0,0
87,93,0.9943,0,0
87,86,0.9914,0,0
89,74,0.9951,0,0
89,88,0.9937,0,0
91,98,0.9956,0,0
91,79,0.9944,0,0
92,83,0.9916,0,0
94,90,0.9811,0,0
95,94,0.9796,0,0
95,96,0.9832,0,0
96,109,0.992,0,0
97,96,0.9918,0,0
97,98,0.9924,0,0
99,98,0.9951,0,0
100,110,0.9085,0,0
100,101,0.9632,0,0
100,99,0.9719,0,0
102,101,0.9883,0,0
102,92,0.9921,0,0
103,102,0.9902,0,0
103,104,0.9917,0,0
105,106,0.9909,0,0
105,104,0.9913,0,0
106,93,0.9935,0,0
106,107,0.991,0,0
108,107,0.988,0,0
109,114,0.9898,0,0
110,118,0.9884,0,0
111,104,0.9946,0,0
112,126,0.9781,0,0
112,108,0.9332,0,0
113,114,0.9712,0,0
115,114,0.9913,0,0
115,116,0.9946,0,0
117,116,0.9947,0,0
117,118,0.9914,0,0
118,119,0.9796,0,0
119,120,0.9603,0,0
120,121,0.9925,0,0
122,121,0.9898,0,0
122,111,0.9943,0,0
123,122,0.9912,0,0
123,124,0.9893,0,0
125,124,0.9781,0,0
126,125,0.9845,0,0
