Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,22.7405,3.2126,0.8,1.0,0.0,4.8321,22.7405,0.9906,0.8873
1,23.1226,2.6164,0.81,1.0,0.0,4.8936,23.1226,0.9886,0.9056
2,31.2657,2.8801,0.9,1.0,0.0,4.8006,31.2657,0.977,0.9176
3,32.2335,2.0339,0.88,1.0,0.0,4.5537,32.2335,0.966,0.8645
4,19.4655,2.8415,0.87,1.0,0.0,4.8473,19.4655,0.9908,0.9015
5,35.9351,2.1791,0.82,1.0,0.0,4.9178,35.9351,0.9932,0.931
6,38.395,2.9795,0.86,1.0,0.0,4.7474,38.395,0.9814,0.8953
7,29.3806,2.1216,0.8,1.0,0.0,4.6195,29.3806,0.9792,0.8701
8,18.8729,4.5112,0.84,1.0,0.0,4.8984,18.8729,0.9798,0.9489
9,30.7176,3.7053,0.89,1.0,0.0,4.6355,30.7176,0.9282,0.8175
10,25.3908,2.533,0.86,1.0,0.0,4.577,25.3908,0.9226,0.8023
11,14.8952,3.7859,0.73,1.0,0.0,5.0139,14.8952,0.9865,0.9127
12,26.2731,2.087,0.73,1.0,0.0,4.7793,26.2731,0.9762,0.8502
13,39.8787,3.3545,0.89,1.0,0.0,4.7353,39.8787,0.9792,0.8948
14,38.6999,3.8793,0.73,1.0,0.0,4.8116,38.6999,0.9892,0.9157
15,35.9323,0.8117,0.81,1.0,0.0,4.7593,35.9323,0.9813,0.8265
16,29.6328,1.6724,0.46,1.0,0.0,4.632,29.6328,0.964,0.8657
17,44.6567,2.3948,0.86,1.0,0.0,4.7195,44.6567,0.9838,0.9035
18,17.193,2.6482,0.45,1.0,0.0,4.8209,17.193,0.9839,0.8663
19,29.1333,3.0503,0.77,1.0,0.0,4.8549,29.1333,0.9841,0.9605
20,25.0523,3.1277,0.76,1.0,0.0,4.929,25.0523,0.992,0.9491
21,19.0287,5.2144,0.83,1.0,0.0,4.7922,19.0287,0.9911,0.9568
22,34.5014,1.4348,0.86,1.0,0.0,4.5555,34.5014,0.9686,0.8528
23,31.1263,3.8899,0.66,1.0,0.0,4.888,31.1263,0.991,0.9124
24,31.5948,2.3304,0.88,1.0,0.0,4.7143,31.5948,0.9864,0.9007
25,37.7392,2.3066,0.87,1.0,0.0,4.5218,37.7392,0.9881,0.8847
26,45.9371,2.6675,0.9,1.0,0.0,4.8425,45.9371,0.9917,0.9363
27,47.7877,3.569,0.88,1.0,0.0,4.6856,47.7877,0.9929,0.9305
28,57.4993,3.4687,0.86,1.0,0.0,4.6492,57.4993,0.9778,0.8953
29,42.4846,4.1659,0.9,1.0,0.0,4.726,42.4846,0.9928,0.9494
30,13.77,2.6226,0.66,1.0,0.0,4.5656,13.77,0.9884,0.9059
31,45.8131,3.1679,0.83,1.0,0.0,4.5967,45.8131,0.9653,0.8895
32,38.7327,2.3717,0.85,1.0,0.0,4.642,38.7327,0.9883,0.9281
33,29.6571,3.3037,0.85,1.0,0.0,4.7487,29.6571,0.9847,0.8557
34,35.5351,4.4307,0.43,1.0,0.0,4.8924,35.5351,0.9962,0.9147
35,28.5997,3.4005,0.59,1.0,0.0,4.9016,28.5997,0.9904,0.8604
36,39.0564,2.525,0.84,1.0,0.0,4.764,39.0564,0.9843,0.8874
37,50.1764,3.0077,0.87,1.0,0.0,4.6822,50.1764,0.9746,0.9287
38,41.9087,2.791,0.81,1.0,0.0,4.5532,41.9087,0.9663,0.9114
39,29.4958,4.9467,0.87,1.0,0.0,4.674,29.4958,0.9834,0.9277
40,8.475,2.6968,0.76,1.0,0.0,4.7311,8.475,0.9942,0.928
41,19.6548,3.6065,0.36,1.0,0.0,4.7359,19.6548,0.934,0.7633
42,36.4218,2.0135,0.86,1.0,0.0,4.6933,36.4218,0.9774,0.9329
43,32.1894,4.4647,0.82,1.0,0.0,4.9487,32.1894,0.9802,0.9501
44,41.3541,2.1206,0.92,1.0,0.0,4.6204,41.3541,0.8306,0.8249
45,28.2571,1.9042,0.84,1.0,0.0,4.69,28.2571,0.9138,0.8228
46,29.64,3.9622,0.88,1.0,0.0,4.8592,29.64,0.9899,0.9527
47,44.1268,2.2406,0.86,1.0,0.0,4.7802,44.1268,0.9823,0.9275
48,31.5432,3.7145,0.91,1.0,0.0,4.7784,31.5432,0.9899,0.9645
49,38.9479,2.6143,0.85,1.0,0.0,4.7591,38.9479,0.9852,0.9602
50,51.7371,2.7025,0.88,1.0,0.0,4.8331,51.7371,0.9819,0.9381
51,37.5035,2.7191,0.83,1.0,0.0,4.6514,37.5035,0.9713,0.9391
52,39.6333,4.4254,0.92,1.0,0.0,4.8054,39.6333,0.9501,0.8775
53,48.5864,3.6573,0.92,1.0,0.0,4.6363,48.5864,0.9697,0.8891
54,35.3164,4.3126,0.86,1.0,0.0,4.8806,35.3164,0.988,0.9112
55,42.7417,2.1808,0.86,1.0,0.0,4.5783,42.7417,0.9248,0.8712
56,31.3797,4.7646,0.88,1.0,0.0,4.7055,31.3797,0.9059,0.8592
57,35.9453,3.0689,0.61,1.0,0.0,4.7012,35.9453,0.9764,0.9004
58,32.9951,3.0618,0.84,1.0,0.0,4.6984,32.9951,0.9867,0.9257
59,44.5927,2.4693,0.88,1.0,0.0,4.6921,44.5927,0.9793,0.9039
60,32.673,3.017,0.82,1.0,0.0,4.6598,32.673,0.9697,0.9219
61,45.8954,1.9217,0.85,1.0,0.0,4.6565,45.8954,0.9654,0.926
62,50.6869,5.6671,0.94,1.0,0.0,4.7977,50.6869,0.9859,0.9384
