l0,l1,fidelity,cs0,cs1
0,1,0.985,0,0
1,2,0.984,0,0
2,3,0.957,0,0
3,4,0.959,0,0
4,5,0.972,0,0
5,6,0.912,0,0
7,8,0.945,0,0
8,9,0.951,0,0
9,10,0.965,0,0
0,11,0.92,0,0
11,12,0.984,0,0
12,13,0.97,0,0
13,14,0.951,0,0
4,15,0.91,0,0
14,15,0.923,0,0
15,16,0.96,0,0
7,18,0.969,0,0
17,18,0.957,0,0
18,19,0.97,0,0
19,20,0.969,0,0
10,21,0.982,0,0
20,21,0.963,0,0
22,23,0.951,0,0
13,24,0.973,0,0
23,24,0.971,0,0
24,25,0.86,0,0
25,26,0.943,0,0
26,27,0.969,0,0
27,28,0.979,0,0
28,29,0.87,0,0
29,30,0.91,0,0
30,31,0.975,0,0
20,32,0.944,0,0
31,32,0.966,0,0
32,33,0.98,0,0
22,34,0.944,0,0
34,35,0.979,0,0
35,36,0.972,0,0
36,37,0.96,0,0
26,38,0.968,0,0
37,38,0.909,0,0
38,39,0.928,0,0
39,40,0.965,0,0
40,41,0.93,0,0
41,42,0.971,0,0
30,42,0.96,0,0
42,43,0.972,0,0
43,44,0.94,0,0
44,45,0.97,0,0
33,45,0.982,0,0
36,47,0.967,0,0
47,48,0.984,0,0
48,49,0.923,0,0
49,50,0.957,0,0
50,51,0.973,0,0
40,51,0.959,0,0
52,53,0.952,0,0
53,54,0.973,0,0
44,54,0.96,0,0
46,55,0.949,0,0
55,56,0.953,0,0
56,57,0.996,0,0
57,58,0.97,0,0
58,59,0.956,0,0
49,59,0.969,0,0
59,60,0.86,0,0
60,61,0.941,0,0
61,62,0.957,0,0
62,63,0.92,0,0
52,63,0.967,0,0
63,64,0.92,0,0
64,65,0.9,0,0
65,66,0.937,0,0
67,68,0.97,0,0
68,69,0.91,0,0
57,69,0.962,0,0
69,70,0.936,0,0
70,71,0.88,0,0
71,72,0.91,0,0
73,74,0.95,0,0
74,75,0.93,0,0
75,76,0.985,0,0
65,76,0.937,0,0
76,77,0.96,0,0
67,78,0.94,0,0
79,80,0.979,0,0
80,81,0.901,0,0
81,82,0.94,0,0
71,82,0.946,0,0
82,83,0.944,0,0
83,84,0.969,0,0
84,85,0.968,0,0
85,86,0.96,0,0
74,86,0.954,0,0
86,87,0.938,0,0
87,88,0.877,0,0
88,89,0.91,0,0
90,91,0.95,0,0
91,92,0.95,0,0
80,92,0.966,0,0
92,93,0.926,0,0
93,94,0.89,0,0
94,95,0.98,0,0
84,96,0.957,0,0
96,97,0.97,0,0
97,98,0.98,0,0
98,99,0.95,0,0
88,100,0.96,0,0
100,101,0.955,0,0
90,102,0.968,0,0
102,103,0.903,0,0
103,104,0.934,0,0
104,105,0.91,0,0
105,106,0.88,0,0
94,106,0.94,0,0
106,107,0.965,0,0
107,108,0.83,0,0
108,109,0.986,0,0
109,110,0.93,0,0
98,110,0.966,0,0
110,111,0.969,0,0
101,112,0.93,0,0
113,114,0.96,0,0
114,115,0.85,0,0
104,115,0.953,0,0
115,116,0.96,0,0
116,117,0.919,0,0
118,119,0.984,0,0
108,119,0.94,0,0
119,120,0.93,0,0
120,121,0.97,0,0
121,122,0.95,0,0
122,123,0.964,0,0
113,124,0.947,0,0
124,125,0.91,0,0
125,126,0.951,0,0
126,127,0.902,0,0
127,128,0.94,0,0
117,128,0.96,0,0
128,129,0.933,0,0
129,130,0.904,0,0
130,131,0.95,0,0
121,132,0.89,0,0
132,133,0.977,0,0
133,134,0.956,0,0
134,135,0.93,0,0
