l0,l1,fidelity,cs0,cs1
0,26,0.9819,0,0
1,2,0.9855,0,0
1,0,0.9868,0,0
2,3,0.9824,0,0
4,27,0.9847,0,0
4,5,0.9865,0,0
4,3,0.9718,0,0
5,6,0.9911,0,0
6,7,0.9836,0,0
8,28,0.9832,0,0
8,9,0.9861,0,0
8,7,0.9796,0,0
9,10,0.9852,0,0
10,11,0.9791,0,0
12,29,0.9457,0,0
12,11,0.9778,0,0
13,14,0.984,0,0
13,12,0.9804,0,0
14,15,0.8633,0,0
16,17,0.966,0,0
16,15,0.9536,0,0
17,18,0.9043,0,0
18,19,0.9538,0,0
20,19,0.9571,0,0
20,31,0.0,0,0
21,20,0.9801,0,0
21,22,0.9656,0,0
22,23,0.9605,0,0
24,23,0.9755,0,0
24,32,0.0,0,0
25,24,0.965,0,0
29,45,0.6928,0,0
30,16,0.9825,0,0
33,26,0.9839,0,0
34,33,0.9536,0,0
34,35,0.9855,0,0
35,36,0.9877,0,0
36,37,0.9779,0,0
37,27,0.9578,0,0
38,39,0.9708,0,0
38,37,0.9681,0,0
40,41,0.9842,0,0
40,39,0.9889,0,0
41,28,0.9841,0,0
42,41,0.9741,0,0
42,43,0.9786,0,0
43,62,0.9874,0,0
43,44,0.9846,0,0
44,45,0.9761,0,0
45,46,0.9839,0,0
46,47,0.9847,0,0
48,47,0.9705,0,0
49,30,0.9791,0,0
49,50,0.9775,0,0
49,48,0.9375,0,0
50,51,0.9738,0,0
51,52,0.0,0,0
53,31,0.7789,0,0
53,52,0.9783,0,0
53,54,0.8846,0,0
54,55,0.0,0,0
56,55,0.7564,0,0
56,57,0.9749,0,0
57,58,0.983,0,0
57,32,0.9874,0,0
58,59,0.972,0,0
59,66,0.9587,0,0
60,35,0.9826,0,0
60,69,0.9837,0,0
61,73,0.9819,0,0
61,39,0.9878,0,0
63,47,0.9842,0,0
63,81,0.9878,0,0
64,85,0.9668,0,0
64,51,0.8593,0,0
65,55,0.9867,0,0
65,89,0.8357,0,0
66,93,0.9687,0,0
67,68,0.9881,0,0
67,94,0.0,0,0
68,69,0.9897,0,0
70,69,0.987,0,0
70,71,0.9889,0,0
71,72,0.988,0,0
72,73,0.9797,0,0
74,73,0.9766,0,0
74,75,0.981,0,0
75,96,0.9562,0,0
76,75,0.9875,0,0
76,77,0.9879,0,0
77,62,0.9844,0,0
77,78,0.984,0,0
78,79,0.9717,0,0
79,80,0.9654,0,0
80,81,0.9905,0,0
82,81,0.99,0,0
83,82,0.5916,0,0
83,84,0.0,0,0
84,85,0.983,0,0
85,86,0.9641,0,0
86,87,0.9762,0,0
87,99,0.9834,0,0
87,88,0.9861,0,0
88,89,0.9732,0,0
90,89,0.9795,0,0
91,90,0.9662,0,0
91,92,0.9644,0,0
92,93,0.9563,0,0
94,101,0.0,0,0
95,71,0.9763,0,0
95,105,0.9221,0,0
97,79,0.9824,0,0
98,83,0.8653,0,0
98,117,0.9745,0,0
100,91,0.9804,0,0
101,102,0.0,0,0
102,103,0.0,0,0
103,104,0.0,0,0
103,128,0.0,0,0
104,105,0.9483,0,0
106,105,0.9378,0,0
106,107,0.9735,0,0
107,108,0.9672,0,0
109,96,0.9854,0,0
109,110,0.9839,0,0
109,108,0.9865,0,0
110,111,0.9726,0,0
111,112,0.9646,0,0
111,130,0.0,0,0
112,113,0.9555,0,0
113,97,0.9777,0,0
113,114,0.9748,0,0
114,115,0.9849,0,0
116,117,0.9813,0,0
116,115,0.9833,0,0
118,119,0.9755,0,0
118,117,0.9404,0,0
119,120,0.0,0,0
120,121,0.9871,0,0
121,99,0.9848,0,0
122,123,0.9441,0,0
122,121,0.9466,0,0
124,125,0.9821,0,0
124,123,0.9841,0,0
125,100,0.9623,0,0
126,125,0.972,0,0
126,127,0.98,0,0
128,137,0.0,0,0
129,107,0.9863,0,0
129,141,0.9792,0,0
130,145,0.9879,0,0
131,115,0.9883,0,0
131,149,0.9887,0,0
132,119,0.981,0,0
132,153,0.9806,0,0
133,123,0.9853,0,0
133,157,0.9844,0,0
134,161,0.9888,0,0
134,127,0.9887,0,0
135,162,0.0,0,0
135,136,0.0,0,0
136,137,0.0,0,0
137,138,0.0,0,0
138,139,0.9423,0,0
139,140,0.8973,0,0
140,141,0.9732,0,0
141,142,0.983,0,0
142,143,0.9865,0,0
143,144,0.99,0,0
144,145,0.9873,0,0
145,146,0.9777,0,0
147,146,0.9653,0,0
147,148,0.9615,0,0
148,149,0.9904,0,0
150,151,0.9451,0,0
150,149,0.9832,0,0
151,166,0.9163,0,0
151,152,0.9627,0,0
152,153,0.976,0,0
153,154,0.9816,0,0
154,155,0.9748,0,0
155,167,0.972,0,0
