curie	label	person_curie	person_label
QUALO:0000016	doctor of philosophy	orcid:0000-0003-4423-4370	Charles Tapley Hoyt
QUALO:0000037	bachelor of science in chemistry	orcid:0000-0003-4423-4370	Charles Tapley Hoyt
