# dens P_low P_up
1.22 0.678 1.33
1.25 0.774 1.53
1.27 0.874 1.75
1.29 0.979 1.98
1.32 1.09 2.23
1.34 1.2 2.48
1.36 1.32 2.75
1.39 1.44 3.03
1.41 1.56 3.33
1.43 1.69 3.63
1.46 1.83 3.95
1.48 1.97 4.29
1.5 2.11 4.64
1.52 2.26 5.0
1.55 2.41 5.38
1.57 2.57 5.77
1.59 2.73 6.18
1.62 2.9 6.6
1.64 3.07 7.04
1.66 3.24 7.5
1.69 3.42 7.97
1.71 3.61 8.45
1.73 3.79 8.96
1.76 3.99 9.47
1.78 4.19 10.0
1.8 4.39 10.6
1.82 4.6 11.1
1.85 4.81 11.7
1.87 5.03 12.3
1.89 5.25 13.0
1.92 5.47 13.6
1.94 5.71 14.3
1.96 5.94 14.9
1.99 6.18 15.6
2.01 6.43 16.3
2.03 6.68 17.1
2.06 6.94 17.8
2.08 7.2 18.6
2.1 7.47 19.4
2.12 7.74 20.2
2.15 8.01 21.0
2.17 8.29 21.9
2.19 8.58 22.8
2.22 8.87 23.7
