# D1M
# From C. Mondal, X. Viñas, M. Centelles, and J.N. De, Phys. Rev. C 102, 015802 (2020)
#ρav      R_WS      N         Z    E/A-mn   P          μn       μp        μe
#(fm-3 )  (fm)                     (MeV)   (MeV fm-3 ) (MeV)    (MeV)     (MeV)
0.0004   48.7506   154.1277  40  -0.86383  0.00057   0.4688   -25.7906   26.2594
0.0006   46.7373   216.5842  40  -0.36546  0.00073   0.7844   -26.6088   27.3930
0.000879 44.6674   288.1330  40   0.05627  0.00100   1.1325   -27.5327   28.6653
0.00159  41.0245   419.8488  40   0.69759  0.00185   1.8132   -29.4046   31.2174
0.00373  34.9033   624.3484  40   1.76817  0.00548   3.2011   -33.5087   36.7096
0.00577  31.5165   716.6228  40   2.45137  0.00995   4.1402   -36.5290   40.6694
0.00891  28.1298   790.7460  40   3.25485  0.01801   5.2393   -40.3485   45.5880
0.0204   25.1930  1308.3346  58   5.16037  0.05291   7.7310   -49.7482   57.4793
0.03     22.3713  1348.9628  58   6.19822  0.08396   8.9590   -55.8469   64.8064
0.0475   19.4933  1415.8068  58   7.52030  0.14037  10.4099   -64.1245   74.5343
0.06     18.2139  1460.6204  58   8.21455  0.18126  11.1399   -68.7630   79.9025
0.0789   19.5763  2387.4758  92   9.04198  0.24948  12.0330   -74.6456   86.6787
