# D1M*
# From C. Mondal, X. Viñas, M. Centelles, and J.N. De, Phys. Rev. C 102, 015802 (2020)
#ρav      R_WS      N         Z    E/A-mn   P          μn       μp        μe
#(fm-3 )  (fm)                     (MeV)   (MeV fm-3 ) (MeV)    (MeV)     (MeV)
0.0004   49.0468   157.6882  40  -0.74943  0.00056   0.4855   -25.6148   26.1005
0.0006   47.0450   221.6858  40  -0.27892  0.00072   0.7993   -26.4144   27.2135
0.000879 44.9802   295.0745  40   0.12384  0.00098   1.1463   -27.3191   28.4656
0.00159  41.3408   430.5692  40   0.74518  0.00183   1.8248   -29.1535   30.9779
0.00373  35.2332   643.3648  40   1.79723  0.00543   3.2033   -33.1619   36.3650
0.00577  31.8661   742.0830  40   2.47121  0.00983   4.1300   -36.0917   40.2217
0.00891  28.5108   824.9535  40   3.26236  0.01770   5.2060   -39.7706   44.9766
0.0204   22.6141   948.2304  40   5.12315  0.05114   7.5829   -49.2004   56.7834
0.03     20.2603  1005.0806  40   6.12660  0.08046   8.7544   -54.6898   63.4438
0.0475   17.8000  1082.1295  40   7.40033  0.13496  10.1676   -62.1776   72.3449
0.06     16.6427  1118.5374  40   8.07662  0.17845  10.9405   -66.5598   77.5002
0.07     15.8808  1134.3594  40   8.53993  0.22176  11.5152   -69.8479   81.3629
0.0789   20.0985  2591.2263  92   8.92225  0.26701  12.0208   -72.7213   84.7418
