# D1S 
# From C. Mondal, X. Viñas, M. Centelles, and J.N. De, Phys. Rev. C 102, 015802 (2020)
#ρav      R_WS      N         Z    E/A-mn   P          μn       μp        μe
#(fm-3 )  (fm)                     (MeV)   (MeV fm-3 ) (MeV)    (MeV)     (MeV)
0.0004   50.0488   170.0538  40  -0.85386  0.00052   0.5105   -25.0660   25.5769
0.0006   48.1364   240.3249  40  -0.36003  0.00067   0.8037   -25.7910   26.5951
0.000879 46.1657   322.2734  40   0.05280  0.00092   1.1274   -26.6055   27.7329
0.00159  42.6967   478.4050  40   0.66983  0.00170   1.7578   -28.2341   29.9917
0.00373  36.8371   741.0056  40   1.67778  0.00505   3.0441   -31.7328   34.7766
0.00577  33.5312   871.1931  40   2.31735  0.00926   3.9311   -34.2858   38.2171
0.00891  30.1276   980.6055  40   3.07788  0.01714   5.0082   -37.5434   42.5520
0.0204   23.6452  1089.6526  40   4.98537  0.05594   7.7295   -46.5564   54.2863
0.03     20.7605  1084.4102  40   6.13499  0.09690   9.3633   -52.5260   61.8894
0.0475   17.5449  1034.5676  40   7.77519  0.18563  11.6701   -61.7009   73.3706
0.06     12.7870   505.4683  20   8.73363  0.25872  12.9645   -67.4367   80.4012


