# obs, Mchirp, sig_up, sig_do, q_do, q_up, lambda, sig_up, sig_do, latexCite
1, 1.188000, 0.004000, 0.002000, 0.700, 1.000, 400, 400, 400, BPAbbott:2017
2, 1.188000, 0.004000, 0.002000, 0.400, 1.000, 350, 350, 350, BPAbbott:2017
3, 1.186735, 0.000119, 0.000095, 0.639, 0.982, 222, 420, 138, SDe:2018
4, 1.186000, 0.001000, 0.001000, 0.730, 1.000, 300, 420, 230, BPAbbott:2019
5, 1.186000, 0.001000, 0.001000, 0.530, 1.000, 315, 315, 315, BPAbbott:2019
