#      rho            V(S=0,I=0)   V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG          E_total

   0.100000E-01   0.132388E+00  -0.238500E+01  -0.525257E+01   0.627160E-02  -0.749891E+01   0.348172E+01  -0.401719E+01
   0.500000E-01   0.105447E+01  -0.811987E+01  -0.127815E+02  -0.132188E+00  -0.199790E+02   0.101806E+02  -0.979843E+01
   0.750000E-01   0.177231E+01  -0.108448E+02  -0.156450E+02  -0.191689E+00  -0.249092E+02   0.133404E+02  -0.115688E+02
   0.100000E+00   0.253029E+01  -0.135055E+02  -0.185330E+02  -0.253657E+00  -0.297618E+02   0.161607E+02  -0.136011E+02
   0.125000E+00   0.333485E+01  -0.160366E+02  -0.211740E+02  -0.273984E+00  -0.341497E+02   0.187528E+02  -0.153969E+02
   0.150000E+00   0.418295E+01  -0.184719E+02  -0.235900E+02  -0.234782E+00  -0.381137E+02   0.211765E+02  -0.169372E+02
   0.175000E+00   0.506232E+01  -0.208213E+02  -0.258236E+02  -0.137557E+00  -0.417201E+02   0.234685E+02  -0.182516E+02
   0.200000E+00   0.596095E+01  -0.230876E+02  -0.278996E+02   0.126643E-01  -0.450136E+02   0.256535E+02  -0.193601E+02
   0.250000E+00   0.780409E+01  -0.274089E+02  -0.317013E+02   0.462995E+00  -0.508431E+02   0.297683E+02  -0.210748E+02
   0.300000E+00   0.974698E+01  -0.315016E+02  -0.350764E+02   0.118548E+01  -0.556456E+02   0.336156E+02  -0.220300E+02
   0.350000E+00   0.117963E+02  -0.354189E+02  -0.381702E+02   0.218065E+01  -0.596121E+02   0.372540E+02  -0.223582E+02
   0.400000E+00   0.139265E+02  -0.391632E+02  -0.410196E+02   0.342879E+01  -0.628275E+02   0.407224E+02  -0.221051E+02
