#       rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000E-01   0.134308E+00  -0.223689E+01  -0.499774E+01   0.134481E-01  -0.708687E+01   0.348172E+01  -0.360515E+01
   0.500000E-01   0.106461E+01  -0.761884E+01  -0.120851E+02  -0.932799E-01  -0.187326E+02   0.101806E+02  -0.855203E+01
   0.750000E-01   0.178138E+01  -0.102484E+02  -0.150388E+02  -0.154848E+00  -0.236607E+02   0.133404E+02  -0.103203E+02
   0.100000E+00   0.253670E+01  -0.127397E+02  -0.176656E+02  -0.209484E+00  -0.280781E+02   0.161607E+02  -0.119174E+02
   0.125000E+00   0.333507E+01  -0.151053E+02  -0.200734E+02  -0.226482E+00  -0.320701E+02   0.187528E+02  -0.133173E+02
   0.150000E+00   0.417178E+01  -0.173850E+02  -0.223395E+02  -0.199145E+00  -0.357519E+02   0.211765E+02  -0.145754E+02
   0.175000E+00   0.503697E+01  -0.195552E+02  -0.242750E+02  -0.962914E-01  -0.388896E+02   0.234685E+02  -0.154211E+02
   0.200000E+00   0.591636E+01  -0.216295E+02  -0.260246E+02   0.609302E-01  -0.416768E+02   0.256535E+02  -0.160233E+02
   0.250000E+00   0.770243E+01  -0.255147E+02  -0.290546E+02   0.546774E+00  -0.463202E+02   0.297683E+02  -0.165519E+02
   0.300000E+00   0.956713E+01  -0.291322E+02  -0.316060E+02   0.132214E+01  -0.498490E+02   0.336156E+02  -0.162334E+02
   0.350000E+00   0.115223E+02  -0.325271E+02  -0.337894E+02   0.240674E+01  -0.523875E+02   0.372540E+02  -0.151335E+02
   0.400000E+00   0.135399E+02  -0.356975E+02  -0.356521E+02   0.377806E+01  -0.540317E+02   0.407224E+02  -0.133092E+02
