#       rho        V(S=0,I=0)     V(S=0,I=1)      V(S=1,I=0)     V(S=1,I=1)     V_Total          FFG          E_total

   0.100000E-01   0.134232E+00  -0.226213E+01  -0.505329E+01   0.150944E-01  -0.716609E+01   0.348172E+01  -0.368437E+01
   0.500000E-01   0.106332E+01  -0.768922E+01  -0.121720E+02  -0.741147E-01  -0.188720E+02   0.101806E+02  -0.869140E+01
   0.750000E-01   0.177868E+01  -0.103391E+02  -0.151432E+02  -0.120753E+00  -0.238244E+02   0.133404E+02  -0.104841E+02
   0.100000E+00   0.253208E+01  -0.128481E+02  -0.177767E+02  -0.157832E+00  -0.282506E+02   0.161607E+02  -0.120899E+02
   0.125000E+00   0.332875E+01  -0.152307E+02  -0.201947E+02  -0.155866E+00  -0.322525E+02   0.187528E+02  -0.134996E+02
   0.150000E+00   0.416323E+01  -0.175270E+02  -0.224725E+02  -0.108332E+00  -0.359446E+02   0.211765E+02  -0.147681E+02
   0.175000E+00   0.502592E+01  -0.197132E+02  -0.244160E+02   0.155076E-01  -0.390877E+02   0.234685E+02  -0.156192E+02
   0.200000E+00   0.590248E+01  -0.218029E+02  -0.261723E+02   0.194488E+00  -0.418782E+02   0.256535E+02  -0.162247E+02
   0.250000E+00   0.768186E+01  -0.257175E+02  -0.292147E+02   0.725517E+00  -0.465248E+02   0.297683E+02  -0.167565E+02
   0.300000E+00   0.953771E+01  -0.293621E+02  -0.317756E+02   0.154756E+01  -0.500524E+02   0.336156E+02  -0.164368E+02
   0.350000E+00   0.114854E+02  -0.327823E+02  -0.339672E+02   0.267926E+01  -0.525847E+02   0.372540E+02  -0.153308E+02
   0.400000E+00   0.134949E+02  -0.359763E+02  -0.358368E+02   0.409733E+01  -0.542208E+02   0.407224E+02  -0.134984E+02
