CDP_corr t_corr vnmo
1 700 2899
1 900 2899
1 1100 2899
1 1300 2986
1 1500 3065
1 1700 3395
1 1900 3618
1 2100 3778
1 2300 3871
1 2500 4024
1 2700 4338
1 2900 4516
1 3100 4553
1 3300 4585
1 3500 4613
1 3700 4637
1 3900 4658
1 4100 4677
1 4300 4694
1 4500 4710
73 700 2900
73 900 2900
73 1100 2900
73 1300 3023
73 1500 3174
73 1700 3474
73 1900 3679
73 2100 3825
73 2300 3882
73 2500 4059
73 2700 4335
73 2900 4512
73 3100 4550
73 3300 4585
73 3500 4610
73 3700 4634
73 3900 4655
73 4100 4675
73 4300 4692
73 4500 4707
91 700 2900
91 900 2900
91 1100 2900
91 1300 3253
91 1500 3451
91 1700 3575
91 1900 3731
91 2100 3856
91 2300 3893
91 2500 4158
91 2700 4428
91 2900 4529
91 3100 4565
91 3300 4596
91 3500 4623
91 3700 4646
91 3900 4667
91 4100 4686
91 4300 4702
91 4500 4717
231 700 2900
231 900 2994
231 1100 3276
231 1300 3456
231 1500 3589
231 1700 3746
231 1900 3893
231 2100 4140
231 2300 4332
231 2500 4456
231 2700 4540
231 2900 4579
231 3100 4611
231 3300 4639
231 3500 4663
231 3700 4684
231 3900 4701
231 4100 4719
231 4300 4734
231 4500 4747
342 700 2900
342 900 3039
342 1100 3302
342 1300 3483
342 1500 3654
342 1700 4002
342 1900 4199
342 2100 4346
342 2300 4461
342 2500 4530
342 2700 4572
342 2900 4608
342 3100 4638
342 3300 4664
342 3500 4686
342 3700 4706
342 3900 4723
342 4100 4738
342 4300 4752
342 4500 4765
383 700 2900
383 900 3002
383 1100 3081
383 1300 3334
383 1500 3600
383 1700 4005
383 1900 4204
383 2100 4353
383 2300 4470
383 2500 4535
383 2700 4577
383 2900 4612
383 3100 4642
383 3300 4667
383 3500 4690
383 3700 4709
383 3900 4726
383 4100 4741
383 4300 4755
383 4500 4767
417 700 2900
417 900 3027
417 1100 3269
417 1300 3500
417 1500 3770
417 1700 4005
417 1900 4199
417 2100 4346
417 2300 4461
417 2500 4530
417 2700 4572
417 2900 4608
417 3100 4638
417 3300 4664
417 3500 4686
417 3700 4706
417 3900 4723
417 4100 4738
417 4300 4752
417 4500 4765
515 700 2900
515 900 2900
515 1100 3058
515 1300 3282
515 1500 3524
515 1700 3759
515 1900 3973
515 2100 4175
515 2300 4331
515 2500 4456
515 2700 4527
515 2900 4566
515 3100 4600
515 3300 4626
515 3500 4653
515 3700 4675
515 3900 4694
515 4100 4711
515 4300 4726
515 4500 4740
