# from Danielewicz and Lee, NPA 922, 1 (2014)
# den (fm^-3),  Esym_min (MeV),  Esym_max (MeV)
  0.040   11.20   14.80
  0.070   17.30   21.50
  0.100   23.30   26.00
  0.105   24.30   26.50
  0.130   26.60   31.50
  0.160   27.70   37.70

