# from Danielewicz and Lee, NPA 922, 1 (2014)
# den (fm^-3),  Esym_min (MeV),  Esym_max (MeV)
  0.040   12.40   14.10
  0.070   18.60   20.20
  0.100   23.90   25.15
  0.105   24.60   25.90
  0.130   27.50   29.60
  0.160   30.00   33.90
