# obs, M, sigma_up, sigma_do, latexCite
1, 2.14, 0.10, 0.09, HTCromartie:2019
2, 2.08, 0.07, 0.07, EFonseca:2021
3, 1.99, 0.07, 0.07, GAgazie:2023
