l0,l1,fidelity,cs0,cs1
0,10,0.9951,0,0
0,1,0.9815,0,0
1,2,0.9884,0,0
2,3,0.0,0,0
3,4,0.9914,0,0
4,11,0.9904,0,0
4,5,0.9832,0,0
5,6,0.9869,0,0
7,6,0.9925,0,0
8,7,0.9958,0,0
8,9,0.9969,0,0
8,12,0.9943,0,0
10,13,0.9917,0,0
11,17,0.9932,0,0
12,21,0.9954,0,0
14,13,0.9945,0,0
14,15,0.9918,0,0
15,24,0.9955,0,0
16,17,0.9947,0,0
16,15,0.9942,0,0
17,18,0.9908,0,0
19,25,0.9916,0,0
19,20,0.9939,0,0
19,18,0.9932,0,0
20,21,0.9891,0,0
22,21,0.9921,0,0
22,23,0.9952,0,0
26,37,0.9937,0,0
26,23,0.9899,0,0
43,44,0.9936,0,0
28,27,0.9919,0,0
29,24,0.9962,0,0
29,28,0.9893,0,0
30,29,0.9916,0,0
31,30,0.9915,0,0
31,32,0.9911,0,0
33,34,0.9865,0,0
33,32,0.9936,0,0
33,25,0.9944,0,0
34,35,0.9897,0,0
35,40,0.9848,0,0
36,37,0.9919,0,0
36,35,0.9903,0,0
38,41,0.9696,0,0
38,27,0.9818,0,0
39,31,0.9942,0,0
42,43,0.9939,0,0
42,41,0.9745,0,0
45,44,0.9623,0,0
45,39,0.9779,0,0
46,45,0.989,0,0
47,46,0.9964,0,0
47,53,0.9918,0,0
48,47,0.0,0,0
49,40,0.9916,0,0
49,48,0.0,0,0
50,49,0.9945,0,0
51,50,0.9904,0,0
52,56,0.9855,0,0
52,43,0.9896,0,0
54,64,0.9922,0,0
54,51,0.9914,0,0
57,56,0.9756,0,0
56,55,0.9877,0,0
57,58,0.9907,0,0
59,58,0.9921,0,0
60,59,0.9955,0,0
60,61,0.9945,0,0
60,53,0.9914,0,0
61,62,0.9906,0,0
63,64,0.9926,0,0
63,62,0.9834,0,0
