Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,177.4683,21.4845,0.9994,1.0,4.9087,0.0,0.0,0.8546,0.836
1,149.1652,85.2112,0.9997,1.0,4.8557,0.0,0.0,0.9434,0.9062
2,300.7652,54.3042,0.9997,1.0,4.7332,0.0,0.0,0.9966,0.9964
3,160.2162,48.2789,0.9988,1.0,4.8204,0.0,0.0,0.9098,0.9172
4,215.1616,65.7676,0.9998,1.0,4.8544,0.0,0.0,0.9558,0.952
5,178.8411,328.6039,0.9998,1.0,4.7282,0.0,0.0,0.982,0.984
6,284.4243,314.8071,0.9999,1.0,4.7827,0.0,0.0,0.9892,0.99
7,286.418,178.0981,0.9997,1.0,4.9439,0.0,0.0,0.9824,0.9958
8,177.4483,122.0124,0.9994,1.0,5.1693,0.0,0.0,0.9898,0.9808
9,254.6606,149.1185,0.9999,1.0,4.9357,0.0,0.0,0.9918,0.9964
10,273.4695,60.5755,0.9997,1.0,4.8386,0.0,0.0,0.9792,0.9884
11,218.5932,290.3087,0.9998,1.0,5.0855,0.0,0.0,0.9896,0.9926
12,273.5364,130.2562,0.9999,1.0,4.9524,0.0,0.0,0.995,0.9956
13,257.779,244.1695,0.9999,1.0,4.8591,0.0,0.0,0.9938,0.9978
14,163.949,102.2932,0.9968,1.0,4.9417,0.0,0.0,0.8748,0.884
15,213.2903,86.4095,0.9997,1.0,4.9654,0.0,0.0,0.974,0.9896
16,99.1687,95.9615,0.9998,1.0,4.9895,0.0,0.0,0.9568,0.9884
17,186.6686,132.0179,0.9998,1.0,5.0496,0.0,0.0,0.989,0.9922
18,271.6041,213.1175,0.9998,1.0,4.841,0.0,0.0,0.8676,0.9014
19,243.5706,197.1559,0.9994,1.0,4.7987,0.0,0.0,0.9902,0.9954
20,340.0234,136.2093,0.9997,1.0,4.7314,0.0,0.0,0.9844,0.9854
21,279.5873,156.991,0.9998,1.0,4.8326,0.0,0.0,0.9894,0.9908
22,180.2867,19.6751,0.9991,1.0,4.9071,0.0,0.0,0.9816,0.977
23,353.1496,186.2836,0.9999,1.0,4.8117,0.0,0.0,0.9944,0.9938
24,44.607,47.5248,0.9995,1.0,4.8726,0.0,0.0,0.9686,0.9772
25,174.774,177.4974,0.9998,1.0,4.91,0.0,0.0,0.9476,0.9444
26,266.7823,231.4365,0.9999,1.0,4.8064,0.0,0.0,0.9926,0.9944
27,284.6588,155.163,0.9997,1.0,4.895,0.0,0.0,0.9936,0.9928
28,202.8736,29.2163,0.9998,1.0,4.9623,0.0,0.0,0.9842,0.951
29,197.3759,145.1619,0.9996,1.0,5.0801,0.0,0.0,0.983,0.98
30,139.7621,131.8153,0.999,1.0,5.1647,0.0,0.0,0.9516,0.9786
