l0,l1,fidelity,cs0,cs1
0,14,0.9929,0,0
0,1,0.9928,0,0
1,2,0.9947,0,0
2,3,0.9938,0,0
4,15,0.9923,0,0
4,3,0.9918,0,0
4,5,0.9908,0,0
6,7,0.9969,0,0
6,5,0.9933,0,0
7,8,0.995,0,0
8,9,0.9867,0,0
10,9,0.9878,0,0
11,12,0.9741,0,0
11,10,0.9936,0,0
13,12,0.9755,0,0
15,22,0.9898,0,0
16,8,0.995,0,0
17,12,0.9851,0,0
17,30,0.9924,0,0
18,14,0.9948,0,0
18,19,0.9929,0,0
19,20,0.9942,0,0
21,20,0.9949,0,0
22,21,0.9917,0,0
22,23,0.9942,0,0
23,24,0.9948,0,0
24,25,0.9939,0,0
25,26,0.9926,0,0
26,16,0.9959,0,0
27,26,0.9947,0,0
28,27,0.9944,0,0
29,28,0.9946,0,0
29,30,0.9944,0,0
31,30,0.9875,0,0
32,31,0.9947,0,0
33,20,0.9882,0,0
34,24,0.9962,0,0
35,47,0.9912,0,0
35,28,0.9934,0,0
36,32,0.9865,0,0
38,37,0.9929,0,0
39,33,0.9911,0,0
39,40,0.9902,0,0
39,38,0.9915,0,0
41,40,0.9869,0,0
41,42,0.9916,0,0
43,34,0.9956,0,0
43,42,0.9945,0,0
44,45,0.9802,0,0
44,43,0.9949,0,0
46,45,0.9911,0,0
47,46,0.9916,0,0
48,49,0.9945,0,0
48,47,0.9919,0,0
49,50,0.9874,0,0
51,50,0.9909,0,0
51,36,0.9935,0,0
52,37,0.9921,0,0
53,60,0.9634,0,0
53,41,0.9902,0,0
54,45,0.995,0,0
55,49,0.9936,0,0
56,52,0.9929,0,0
56,57,0.9951,0,0
57,58,0.9933,0,0
58,71,0.9951,0,0
59,58,0.9918,0,0
59,60,0.9698,0,0
60,61,0.9062,0,0
61,62,0.9938,0,0
63,62,0.9938,0,0
63,64,0.9787,0,0
64,54,0.9843,0,0
64,65,0.9847,0,0
65,66,0.9214,0,0
66,73,0.9658,0,0
66,67,0.9764,0,0
67,68,0.9927,0,0
68,55,0.9943,0,0
69,68,0.989,0,0
69,70,0.9852,0,0
71,77,0.9945,0,0
72,62,0.9944,0,0
74,70,0.9956,0,0
74,89,0.9925,0,0
75,76,0.9862,0,0
77,76,0.9901,0,0
78,79,0.9929,0,0
78,77,0.9944,0,0
79,91,0.9609,0,0
80,81,0.9894,0,0
80,79,0.9705,0,0
81,72,0.9907,0,0
82,81,0.99,0,0
83,82,0.9876,0,0
84,85,0.9878,0,0
84,83,0.9877,0,0
85,73,0.9901,0,0
86,87,0.9881,0,0
86,85,0.9881,0,0
87,93,0.9838,0,0
88,89,0.9894,0,0
88,87,0.9915,0,0
90,75,0.9772,0,0
90,94,0.9845,0,0
92,83,0.9876,0,0
92,102,0.9901,0,0
95,94,0.9955,0,0
95,96,0.9934,0,0
96,109,0.9953,0,0
97,96,0.993,0,0
97,98,0.9863,0,0
98,91,0.791,0,0
98,99,0.9932,0,0
100,101,0.9947,0,0
100,99,0.9903,0,0
101,102,0.9843,0,0
102,103,0.9916,0,0
104,111,0.9937,0,0
104,105,0.9906,0,0
104,103,0.9882,0,0
106,107,0.9853,0,0
106,105,0.9928,0,0
106,93,0.99,0,0
107,108,0.0,0,0
108,112,0.0,0,0
110,100,0.9929,0,0
112,126,0.9887,0,0
114,109,0.9791,0,0
114,115,0.9469,0,0
114,113,0.9159,0,0
116,117,0.9952,0,0
116,115,0.9949,0,0
118,110,0.9841,0,0
118,117,0.9853,0,0
119,118,0.9823,0,0
119,120,0.994,0,0
120,121,0.9957,0,0
121,122,0.9947,0,0
122,111,0.9782,0,0
122,123,0.9881,0,0
123,124,0.9945,0,0
124,125,0.9943,0,0
126,125,0.9937,0,0
