Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,10.78,2.7,0.9979,1.0,0.0,4.175,0.0,0.9148,0.6306
1,21.82,1.67,0.9978,1.0,0.0,4.313,0.0,0.9484,0.8764
2,11.4,1.23,0.9966,1.0,0.0,4.66,0.0,0.9704,0.9036
3,11.69,0.91,0.9964,1.0,0.0,4.107,0.0,0.9364,0.7966
4,16.96,3.83,0.9985,1.0,0.0,4.180919,0.0,0.9518,0.7814
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,13.76,0.94,0.9975,1.0,0.0,4.094,0.0,0.9358,0.84
7,9.23,1.29,0.9982,1.0,0.0,4.618,0.0,0.9158,0.841
8,11.29,1.13,0.9953,1.0,0.0,4.146,0.0,0.9398,0.847
9,6.13,2.37,0.9973,1.0,0.0,4.978,0.0,0.9634,0.885
10,12.25,1.01,0.9976,1.0,0.0,4.26,0.0,0.9408,0.8546
11,18.55,1.37,0.9982,1.0,0.0,4.799,0.0,0.9418,0.875
12,6.96,6.98,0.9975,1.0,0.0,4.658,0.0,0.9582,0.8796
13,13.85,0.92,0.9983,1.0,0.0,4.0,0.0,0.9448,0.853
14,14.15,1.12,0.9979,1.0,0.0,4.514,0.0,0.955,0.8254
15,16.32,1.12,0.9983,1.0,0.0,4.075,0.0,0.8832,0.797
16,13.61,0.98,0.9978,1.0,0.0,4.624,0.0,0.9622,0.8458
17,25.07,1.9,0.9974,1.0,0.0,4.147,0.0,0.9354,0.8472
18,9.68,1.46,0.997,1.0,0.0,4.302,0.0,0.9416,0.8998
19,17.51,2.81,0.9975,1.0,0.0,4.098,0.0,0.939,0.7078
20,12.51,1.4,0.9976,1.0,0.0,4.215,0.0,0.956,0.7646
21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,14.22,1.31,0.9974,1.0,0.0,4.491,0.0,0.9528,0.8468
23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,29.36,1.22,0.9976,1.0,0.0,4.122,0.0,0.9528,0.8258
25,14.5,1.74,0.9975,1.0,0.0,4.106,0.0,0.9432,0.8582
26,10.03,1.85,0.9982,1.0,0.0,4.568,0.0,0.9306,0.8114
27,13.18,2.29,0.996,1.0,0.0,4.036,0.0,0.942,0.8286
28,21.65,2.82,0.9978,1.0,0.0,4.159,0.0,0.9102,0.7894
29,24.08,2.62,0.9977,1.0,0.0,4.57,0.0,0.9432,0.8728
30,12.21,2.79,0.9975,1.0,0.0,4.007,0.0,0.9548,0.8734
31,17.32,3.01,0.9981,1.0,0.0,4.62,0.0,0.9282,0.8106
32,13.7,2.06,0.9978,1.0,0.0,4.072,0.0,0.9612,0.8634
33,21.92,3.12,0.9975,1.0,0.0,4.454,0.0,0.9512,0.8412
34,8.58,2.54,0.997,1.0,0.0,4.622,0.0,0.9374,0.8702
35,39.09,1.03,0.9976,1.0,0.0,4.045,0.0,0.9386,0.8638
36,15.33,2.18,0.9978,1.0,0.0,4.498,0.0,0.938,0.8164
37,17.08,1.58,0.9964,1.0,0.0,4.178,0.0,0.9502,0.8386
38,10.24,1.35,0.9975,1.0,0.0,0.428349,0.0,0.9492,0.8418
39,11.29,1.13,0.9975,1.0,0.0,4.083,0.0,0.9492,0.8418
40,13.32,3.14,0.9972,1.0,0.0,4.244,0.0,0.9298,0.8078
41,18.71,3.66,0.9978,1.0,0.0,4.333,0.0,0.9384,0.8142
42,32.28,2.9,0.9963,1.0,0.0,4.804,0.0,0.952,0.8692
43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,13.32,3.14,0.9976,1.0,0.0,4.001,0.0,0.9656,0.877
45,18.71,3.66,0.9984,1.0,0.0,4.391,0.0,0.9258,0.7992
46,32.28,2.9,0.9982,1.0,0.0,4.178,0.0,0.9582,0.8784
47,9.03,3.26,0.998,1.0,0.0,4.055,0.0,0.9216,0.8484
48,9.7,3.04,0.9979,1.0,0.0,4.699,0.0,0.9058,0.8522
49,13.73,1.72,0.9967,1.0,0.0,4.464,0.0,0.9352,0.7684
50,16.07,3.42,0.998,1.0,0.0,4.087,0.0,0.9038,0.8698
51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,8.23,2.56,0.9978,1.0,0.0,4.578,0.0,0.9554,0.7384
53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,11.66,2.34,0.9972,1.0,0.0,4.419,0.0,0.8862,0.8362
