Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,188.1214,102.1298,0.9999,1.0,5.0074,0.0,0.0,0.987,0.994
1,119.0023,96.8355,0.9998,1.0,4.5692,0.0,0.0,0.979,0.985
2,12.2367,15.7445,0.9994,1.0,4.9638,0.0,0.0,0.9688,0.99
3,128.0718,154.8353,0.9999,1.0,4.5867,0.0,0.0,0.9878,0.9958
4,222.6311,213.1815,0.9999,1.0,5.0009,0.0,0.0,0.9894,0.9886
5,232.104,275.3286,0.9999,1.0,4.9903,0.0,0.0,0.9864,0.9728
6,119.4893,134.4806,0.9998,1.0,4.9933,0.0,0.0,0.9926,0.9908
7,109.3651,175.6977,0.9998,1.0,4.6035,0.0,0.0,0.9856,0.9962
8,171.1955,167.7042,0.9998,1.0,4.6425,0.0,0.0,0.9868,0.9916
9,238.5389,212.2123,0.9999,1.0,5.0022,0.0,0.0,0.9862,0.991
10,134.5139,136.9078,0.9999,1.0,5.0266,0.0,0.0,0.9834,0.9902
11,104.2504,128.2255,0.9998,1.0,4.9785,0.0,0.0,0.991,0.9952
12,179.329,154.4279,0.9999,1.0,4.6309,0.0,0.0,0.989,0.9964
13,37.1735,61.9739,0.9995,1.0,5.0303,0.0,0.0,0.9784,0.993
14,188.5318,198.369,0.9999,1.0,4.5725,0.0,0.0,0.9902,0.9968
15,272.254,96.3131,0.9999,1.0,4.9695,0.0,0.0,0.9834,0.9884
16,169.503,276.6996,0.9999,1.0,4.9757,0.0,0.0,0.9818,0.9674
17,235.7629,257.1371,0.9993,1.0,4.9998,0.0,0.0,0.9364,0.9858
18,122.5449,149.9218,0.9993,1.0,4.6364,0.0,0.0,0.8872,0.1296
19,7.7499,0.0932,0.98,1.0,4.7922,0.0,0.0,0.6308,0.9886
20,136.2301,80.3986,0.9999,1.0,4.9345,0.0,0.0,0.9942,0.9902
21,114.6001,1.0817,0.9982,1.0,5.0422,0.0,0.0,0.8932,0.9748
22,169.6414,138.4765,0.9998,1.0,5.0904,0.0,0.0,0.9904,0.9942
23,72.1507,0.994,0.9972,1.0,4.7728,0.0,0.0,0.371,0.7426
24,79.429,12.9119,0.9998,1.0,5.027,0.0,0.0,0.97,0.9772
25,202.0456,163.1936,0.9998,1.0,4.6186,0.0,0.0,0.9876,0.9904
26,83.624,11.6707,0.9999,1.0,5.027,0.0,0.0,0.982,0.974
27,229.7709,23.0251,0.9993,1.0,5.0141,0.0,0.0,0.5978,0.721
28,82.06,1.2852,0.9986,1.0,4.5978,0.0,0.0,0.9588,0.9914
29,217.1605,238.5322,0.9999,1.0,4.9915,0.0,0.0,0.9576,0.9552
30,168.2974,148.2388,0.9999,1.0,4.976,0.0,0.0,0.9882,0.9892
31,107.3573,155.3917,0.9999,1.0,4.5921,0.0,0.0,0.9866,0.9864
32,224.7329,165.8346,0.9999,1.0,4.9171,0.0,0.0,0.9844,0.99
