 #      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total        FFG           E_total

    0.50000E-01    0.00000E+00   -0.86780E+01    0.00000E+00   -0.69700E+00   -0.93750E+01    0.16172E+02    0.67970E+01
    0.75000E-01    0.00000E+00   -0.10949E+02    0.00000E+00   -0.12450E+01   -0.12194E+02    0.21191E+02    0.89970E+01
    0.10000E+00    0.00000E+00   -0.12800E+02    0.00000E+00   -0.17960E+01   -0.14596E+02    0.25671E+02    0.11076E+02
    0.12500E+00    0.00000E+00   -0.13936E+02    0.00000E+00   -0.23210E+01   -0.16257E+02    0.29789E+02    0.13532E+02
    0.15000E+00    0.00000E+00   -0.14649E+02    0.00000E+00   -0.27380E+01   -0.17387E+02    0.33639E+02    0.16253E+02
    0.17500E+00    0.00000E+00   -0.14673E+02    0.00000E+00   -0.30360E+01   -0.17709E+02    0.37280E+02    0.19571E+02
    0.20000E+00    0.00000E+00   -0.14152E+02    0.00000E+00   -0.31570E+01   -0.17309E+02    0.40751E+02    0.23442E+02
    0.25000E+00    0.00000E+00   -0.11238E+02    0.00000E+00   -0.26910E+01   -0.13929E+02    0.47287E+02    0.33359E+02
    0.30000E+00    0.00000E+00   -0.60690E+01    0.00000E+00   -0.86100E+00   -0.69310E+01    0.53399E+02    0.46468E+02
    0.35000E+00    0.00000E+00    0.20200E+01    0.00000E+00    0.26000E+01    0.46210E+01    0.59178E+02    0.63799E+02
    0.40000E+00    0.00000E+00    0.12322E+02    0.00000E+00    0.82000E+01    0.20521E+02    0.64688E+02    0.85209E+02
