#       rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)    V(S=1,I=1)        V_Total        FFG          E_total

   0.100000E-01   0.000000E+00  -0.266871E+01   0.000000E+00   0.175668E-01  -0.265115E+01   0.552308E+01   0.287193E+01
   0.500000E-01   0.000000E+00  -0.864982E+01   0.000000E+00  -0.887269E-01  -0.873855E+01   0.161496E+02   0.741103E+01
   0.750000E-01   0.000000E+00  -0.115909E+02   0.000000E+00  -0.855875E-01  -0.116765E+02   0.211619E+02   0.948543E+01
   0.100000E+00   0.000000E+00  -0.141658E+02   0.000000E+00   0.569026E-01  -0.141089E+02   0.256359E+02   0.115270E+02
   0.125000E+00   0.000000E+00  -0.164335E+02   0.000000E+00   0.353617E+00  -0.160799E+02   0.297478E+02   0.136679E+02
   0.150000E+00   0.000000E+00  -0.184350E+02   0.000000E+00   0.825678E+00  -0.176093E+02   0.335925E+02   0.159832E+02
   0.175000E+00   0.000000E+00  -0.201869E+02   0.000000E+00   0.147452E+01  -0.187123E+02   0.372283E+02   0.185160E+02
   0.200000E+00   0.000000E+00  -0.216965E+02   0.000000E+00   0.229955E+01  -0.193970E+02   0.406944E+02   0.212974E+02
   0.250000E+00   0.000000E+00  -0.240553E+02   0.000000E+00   0.446364E+01  -0.195916E+02   0.472217E+02   0.276300E+02
   0.300000E+00   0.000000E+00  -0.256241E+02   0.000000E+00   0.730788E+01  -0.183162E+02   0.533247E+02   0.350085E+02
   0.350000E+00   0.000000E+00  -0.264708E+02   0.000000E+00   0.107188E+02  -0.157520E+02   0.590962E+02   0.433442E+02
   0.400000E+00   0.000000E+00  -0.266216E+02   0.000000E+00   0.146150E+02  -0.120066E+02   0.645983E+02   0.525917E+02
