#       rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000E-01   0.000000E+00  -0.259656E+01   0.000000E+00  -0.115507E-01  -0.260811E+01   0.552308E+01   0.291497E+01
   0.500000E-01   0.000000E+00  -0.843048E+01   0.000000E+00  -0.273335E+00  -0.870381E+01   0.161496E+02   0.744577E+01
   0.750000E-01   0.000000E+00  -0.112867E+02   0.000000E+00  -0.299706E+00  -0.115864E+02   0.211619E+02   0.957555E+01
   0.100000E+00   0.000000E+00  -0.137893E+02   0.000000E+00  -0.136345E+00  -0.139256E+02   0.256359E+02   0.117102E+02
   0.125000E+00   0.000000E+00  -0.159822E+02   0.000000E+00   0.241050E+00  -0.157412E+02   0.297478E+02   0.140066E+02
   0.150000E+00   0.000000E+00  -0.179056E+02   0.000000E+00   0.855977E+00  -0.170496E+02   0.335925E+02   0.165428E+02
   0.175000E+00   0.000000E+00  -0.195754E+02   0.000000E+00   0.170855E+01  -0.178668E+02   0.372283E+02   0.193615E+02
   0.200000E+00   0.000000E+00  -0.209994E+02   0.000000E+00   0.278827E+01  -0.182111E+02   0.406944E+02   0.224833E+02
   0.250000E+00   0.000000E+00  -0.231578E+02   0.000000E+00   0.565559E+01  -0.175023E+02   0.472217E+02   0.297194E+02
   0.300000E+00   0.000000E+00  -0.245023E+02   0.000000E+00   0.940305E+01  -0.150992E+02   0.533247E+02   0.382255E+02
   0.350000E+00   0.000000E+00  -0.250570E+02   0.000000E+00   0.139451E+02  -0.111119E+02   0.590962E+02   0.479844E+02
   0.400000E+00   0.000000E+00  -0.248204E+02   0.000000E+00   0.191924E+02  -0.562807E+01   0.645983E+02   0.589702E+02
