#       rho          V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)   V(S=1,I=1)       V_Total           FFG          E_total

   0.100000E-01   0.000000E+00  -0.260621E+01   0.000000E+00  -0.126560E-01  -0.261886E+01   0.552308E+01   0.290421E+01
   0.500000E-01   0.000000E+00  -0.876716E+01   0.000000E+00  -0.322891E+00  -0.909006E+01   0.161496E+02   0.705952E+01
   0.750000E-01   0.000000E+00  -0.119817E+02   0.000000E+00  -0.435440E+00  -0.124171E+02   0.211619E+02   0.874484E+01
   0.100000E+00   0.000000E+00  -0.149557E+02   0.000000E+00  -0.410536E+00  -0.153662E+02   0.256359E+02   0.102696E+02
   0.125000E+00   0.000000E+00  -0.177089E+02   0.000000E+00  -0.247787E+00  -0.179567E+02   0.297478E+02   0.117911E+02
   0.150000E+00   0.000000E+00  -0.203001E+02   0.000000E+00   0.960264E-01  -0.202040E+02   0.335925E+02   0.133884E+02
   0.175000E+00   0.000000E+00  -0.227582E+02   0.000000E+00   0.638160E+00  -0.221201E+02   0.372283E+02   0.151082E+02
   0.200000E+00   0.000000E+00  -0.250813E+02   0.000000E+00   0.136252E+01  -0.237188E+02   0.406944E+02   0.169756E+02
   0.250000E+00   0.000000E+00  -0.292682E+02   0.000000E+00   0.327042E+01  -0.259978E+02   0.472217E+02   0.212239E+02
   0.300000E+00   0.000000E+00  -0.328964E+02   0.000000E+00   0.580478E+01  -0.270916E+02   0.533247E+02   0.262331E+02
   0.350000E+00   0.000000E+00  -0.361221E+02   0.000000E+00   0.901098E+01  -0.271112E+02   0.590962E+02   0.319851E+02
   0.400000E+00   0.000000E+00  -0.389751E+02   0.000000E+00   0.128787E+02  -0.260964E+02   0.645983E+02   0.385019E+02
