#       rho         V(S=0,I=0)    V(S=0,I=1)      V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG           E_total

   0.100000E-01   0.000000E+00  -0.269813E+01   0.000000E+00   0.187654E-01  -0.267936E+01   0.552308E+01   0.284372E+01
   0.500000E-01   0.000000E+00  -0.903669E+01   0.000000E+00  -0.113779E+00  -0.915046E+01   0.161496E+02   0.699911E+01
   0.750000E-01   0.000000E+00  -0.123537E+02   0.000000E+00  -0.178544E+00  -0.125323E+02   0.211619E+02   0.862965E+01
   0.100000E+00   0.000000E+00  -0.154201E+02   0.000000E+00  -0.156704E+00  -0.155768E+02   0.256359E+02   0.100590E+02
   0.125000E+00   0.000000E+00  -0.182732E+02   0.000000E+00  -0.585357E-01  -0.183317E+02   0.297478E+02   0.114160E+02
   0.150000E+00   0.000000E+00  -0.209733E+02   0.000000E+00   0.159469E+00  -0.208139E+02   0.335925E+02   0.127786E+02
   0.175000E+00   0.000000E+00  -0.235544E+02   0.000000E+00   0.510148E+00  -0.230442E+02   0.372283E+02   0.141841E+02
   0.200000E+00   0.000000E+00  -0.260177E+02   0.000000E+00   0.982526E+00  -0.250351E+02   0.406944E+02   0.156593E+02
   0.250000E+00   0.000000E+00  -0.305457E+02   0.000000E+00   0.221653E+01  -0.283292E+02   0.472217E+02   0.188925E+02
   0.300000E+00   0.000000E+00  -0.346264E+02   0.000000E+00   0.383253E+01  -0.307938E+02   0.533247E+02   0.225309E+02
   0.350000E+00   0.000000E+00  -0.384224E+02   0.000000E+00   0.587166E+01  -0.325508E+02   0.590962E+02   0.265455E+02
   0.400000E+00   0.000000E+00  -0.419785E+02   0.000000E+00   0.832365E+01  -0.336548E+02   0.645983E+02   0.309435E+02
