# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.0,0.0
1.0,0.00164,0.00186
1.05,0.00343,0.00384
1.1,0.00616,0.00702
1.15,0.01037,0.01204
1.2,0.01625,0.01919
1.25,0.02386,0.02873
1.3,0.03318,0.04085
1.35,0.04407,0.05566
1.4,0.05631,0.07321
1.45,0.06968,0.09359
1.5,0.08393,0.11688
1.55,0.09878,0.14312
1.6,0.11399,0.17217
1.65,0.12936,0.2036
1.7,0.14481,0.23663
1.75,0.16044,0.27023
1.8,0.17666,0.30343
1.85,0.19406,0.33554
1.9,0.21317,0.36613
1.95,0.23422,0.39504
2.0,0.25711,0.42255
2.05,0.28143,0.44931
2.1,0.30645,0.47635
2.15,0.33122,0.50524
2.2,0.35478,0.53851
