# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.00117,0.00131
0.95,0.00341,0.00372
1.0,0.00791,0.00878
1.05,0.01621,0.01818
1.1,0.02937,0.03338
1.15,0.04808,0.05557
1.2,0.07214,0.08518
1.25,0.10021,0.12161
1.3,0.12976,0.16315
1.35,0.1572,0.20706
1.4,0.17842,0.24991
1.45,0.18935,0.28797
1.5,0.18673,0.31756
1.55,0.16907,0.3353
1.6,0.13769,0.33845
1.65,0.09752,0.32528
1.7,0.05677,0.29557
1.75,0.02464,0.25124
1.8,0.00682,0.19687
1.85,0.0,0.13933
1.9,0.0,0.0865
1.95,0.0,0.04513
2.0,0.0,0.01858
2.05,0.0,0.00574
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
