# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00947,0.00947
0.1,0.08016,0.08016
0.15,0.21819,0.2182
0.2,0.40837,0.4084
0.25,0.63593,0.63601
0.3,0.88806,0.88822
0.35,1.15348,1.15381
0.4,1.42201,1.42276
0.45,1.68425,1.68576
0.5,1.93133,1.93414
0.55,2.15483,2.15974
0.6,2.34649,2.3546
0.65,2.49878,2.51158
0.7,2.60395,2.62334
0.75,2.65537,2.68372
0.8,2.64678,2.68691
0.85,2.57299,2.62811
0.9,2.43062,2.50414
0.95,2.21875,2.31384
1.0,1.94027,2.05917
1.05,1.60387,1.74652
1.1,1.22697,1.38904
1.15,0.83902,1.00919
1.2,0.48313,0.64114
1.25,0.21013,0.3296
1.3,0.05558,0.11808
1.35,0.00554,0.02124
1.4,0.0,0.0
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.00162
2.2,0.0,0.00489
