# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00946,0.00946
0.1,0.08021,0.08022
0.15,0.21875,0.21877
0.2,0.41022,0.41028
0.25,0.6402,0.64035
0.3,0.89619,0.8965
0.35,1.16723,1.16783
0.4,1.44348,1.44452
0.45,1.71577,1.71747
0.5,1.97548,1.97811
0.55,2.21442,2.21825
0.6,2.42401,2.42997
0.65,2.59647,2.60647
0.7,2.72369,2.7396
0.75,2.79883,2.82304
0.8,2.81477,2.85023
0.85,2.76508,2.81531
0.9,2.64483,2.71379
0.95,2.45073,2.54256
1.0,2.18248,2.30092
1.05,1.84445,1.99165
1.1,1.44916,1.62358
1.15,1.02212,1.21502
1.2,0.60793,0.79874
1.25,0.2709,0.42579
1.3,0.07099,0.15753
1.35,0.00625,0.02883
1.4,0.0,0.0
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.00259
1.85,0.0,0.0304
1.9,0.0,0.12936
1.95,0.0,0.30414
2.0,0.0,0.51568
2.05,0.0,0.7136
2.1,0.00613,0.85716
2.15,0.0173,0.91993
2.2,0.03109,0.89067
