# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.00066,0.00082
0.95,0.0027,0.00294
1.0,0.00624,0.0069
1.05,0.01296,0.01447
1.1,0.02371,0.02683
1.15,0.03906,0.04492
1.2,0.05878,0.06901
1.25,0.08163,0.09842
1.3,0.10532,0.13142
1.35,0.12673,0.16542
1.4,0.14238,0.19729
1.45,0.14903,0.22382
1.5,0.14435,0.24202
1.55,0.1277,0.2495
1.6,0.10093,0.24469
1.65,0.06872,0.22719
1.7,0.03794,0.19811
1.75,0.01527,0.16034
1.8,0.00397,0.11856
1.85,0.0,0.07844
1.9,0.0,0.0451
1.95,0.0,0.02162
2.0,0.0,0.00832
2.05,0.0,0.00183
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
