# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00948,0.00948
0.1,0.08043,0.08043
0.15,0.21964,0.21965
0.2,0.41263,0.41266
0.25,0.64503,0.64511
0.3,0.90416,0.90432
0.35,1.17871,1.17904
0.4,1.4584,1.45912
0.45,1.73371,1.73518
0.5,1.99573,1.99846
0.55,2.23601,2.24081
0.6,2.44633,2.4543
0.65,2.61921,2.63184
0.7,2.74688,2.76611
0.75,2.82266,2.85094
0.8,2.84005,2.88033
0.85,2.79328,2.84904
0.9,2.67796,2.75307
0.95,2.49137,2.58982
1.0,2.23357,2.35889
1.05,1.90882,2.06303
1.1,1.52841,1.71015
1.15,1.11436,1.31588
1.2,0.70414,0.90741
1.25,0.35218,0.52684
1.3,0.11645,0.2285
1.35,0.01695,0.05725
1.4,0.0,0.00438
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
