# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00947,0.00947
0.1,0.07994,0.07994
0.15,0.21714,0.21716
0.2,0.40557,0.40562
0.25,0.63012,0.63027
0.3,0.87768,0.87802
0.35,1.13668,1.13739
0.4,1.39668,1.39805
0.45,1.64796,1.6505
0.5,1.88139,1.88583
0.55,2.08827,2.09565
0.6,2.26028,2.27198
0.65,2.38944,2.40726
0.7,2.46822,2.49443
0.75,2.48976,2.52706
0.8,2.44814,2.49962
0.85,2.33895,2.40791
0.9,2.16014,2.24968
0.95,1.91327,2.02562
1.0,1.60549,1.74081
1.05,1.25218,1.40671
1.1,0.88003,1.04374
1.15,0.52879,0.68356
1.2,0.24704,0.36858
1.25,0.07429,0.14308
1.3,0.00929,0.02972
1.35,0.0,0.00105
1.4,0.0,0.0
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
