# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.00167,0.00186
1.0,0.00389,0.00431
1.05,0.00803,0.00905
1.1,0.01509,0.01721
1.15,0.02584,0.0299
1.2,0.0411,0.04834
1.25,0.06142,0.07362
1.3,0.08711,0.10671
1.35,0.11812,0.14841
1.4,0.15414,0.1994
1.45,0.19463,0.26028
1.5,0.23878,0.3315
1.55,0.2855,0.41312
1.6,0.33353,0.5045
1.65,0.38159,0.60404
1.7,0.42861,0.70905
1.75,0.4739,0.81587
1.8,0.51748,0.92043
1.85,0.55979,1.01854
1.9,0.60118,1.10604
1.95,0.64149,1.17889
2.0,0.67989,1.23358
2.05,0.71486,1.26728
2.1,0.74417,1.27805
2.15,0.76516,1.26524
2.2,0.77517,1.22993
