# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00948,0.00948
0.1,0.08024,0.08024
0.15,0.21877,0.21879
0.2,0.41039,0.41045
0.25,0.64056,0.64071
0.3,0.89644,0.89679
0.35,1.16657,1.1673
0.4,1.44055,1.44194
0.45,1.70872,1.71125
0.5,1.962,1.96644
0.55,2.19184,2.19924
0.6,2.39006,2.40185
0.65,2.54886,2.56692
0.7,2.66083,2.68755
0.75,2.71903,2.75735
0.8,2.71718,2.77057
0.85,2.64992,2.72231
0.9,2.5133,2.60887
0.95,2.30554,2.42825
1.0,2.02826,2.18097
1.05,1.68851,1.87147
1.1,1.30192,1.51025
1.15,0.89678,1.11695
1.2,0.51764,0.7242
1.25,0.22147,0.37911
1.3,0.0,0.13519
1.35,0.00387,0.02165
1.4,0.0,0.0
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
