# ref: Friedman and Pandharipande, Nucl. Phys. A. 361, 502 (1981)
# density (fm-3)  E/A (MeV) for NM
4.222e-3  2.057e0
7.295e-3  2.747e0
1.158e-2  3.503e0
1.729e-2  4.322e0
2.462e-2  5.177e0
3.377e-2  6.027e0
4.495e-2  6.873e0
5.836e-2  7.744e0
7.420e-2  8.699e0
9.267e-2  9.822e0
1.140e-1  1.122e1
1.383e-1  1.301e1
1.659e-1  1.526e1
1.921e-1  1.769e1
2.223e-1  2.073e1
2.574e-1  2.467e1
2.978e-1  2.959e1
3.451e-1  3.604e1
3.992e-1  4.416e1
4.622e-1  5.494e1
5.353e-1  6.915e1
6.193e-1  8.796e1
7.382e-1  1.128e2
8.305e-1  1.471e2
