# FM(UIX) + sum, v_ij*v_jk+perm., v(r)=exp(-2*mu*r), iboxv3
#V0    mu      rho       E
5.5    150     0.04    6.774 0.009
5.5    150     0.08   10.258 0.011
5.5    150     0.12   13.774 0.013
5.5    150     0.16   17.732 0.020
5.5    150     0.20   22.257 0.024
5.5    150     0.24   27.471 0.034
5.5    150     0.32   40.011 0.039
5.5    150     0.40   55.476 0.062
5.5    150     0.48   74.148 0.086 
