# ref: Friedman and Pandharipande, Nucl. Phys. A. 361, 502 (1981)
# density (fm-3)  E/A (MeV) for NM
4.3230e-3  -1.6760e0
8.4434e-3  -2.5850e0
1.4590e-2  -3.4020e0
2.3169e-2  -4.6470e0
3.4584e-2  -6.2650e0
4.9242e-2  -8.2920e0
6.7547e-2  -1.0600e1
9.7464e-2  -1.3600e1
1.2570e-1  -1.5300e1
1.5891e-1  -1.6000e1
1.9752e-1  -1.5320e1
2.2344e-1  -1.4130e1
2.5154e-1  -1.2280e1
2.7667e-1  -1.0140e1
3.0343e-1  -7.5460e0
3.4974e-1  -2.5010e0
3.9393e-1   3.4640e0
4.6331e-1   1.4800e1
5.4038e-1   3.0550e1
6.2555e-1   4.9740e1
8.2185e-1   1.1020e2
1.0554e00   2.1850e2
1.4048e00   4.3990e2
1.8238e00   7.8670e2
