# From Gezerlis & Carlson PRC 81, 025803 (2010)
# kF   Delta/EF  error   E/EFG   error 
0.054  0.076     0.020   0.798   0.0004
0.135  0.243     0.021   0.667   0.010
0.270  0.274     0.020   0.593   0.002
0.4    0.224     0.018   0.5616   0.0004
0.540  0.218     0.025   0.5469   0.0002

