# FM(UIX) + sum, v_ij*v_jk+perm., v(r)=exp(-2*mu*r), iboxv3
#V0    mu      rho       E
0.0022  0.0147   0.08     10.086 0.009
0.0022  0.0147   0.12     13.601 0.016
0.0022  0.0147   0.16     17.735 0.018
0.0022  0.0147   0.20     22.794 0.025
0.0022  0.0147   0.24     28.923 0.040
0.0022  0.0147   0.32     44.780 0.060
0.0022  0.0147   0.40     66.574 0.138
0.0022  0.0147   0.48     95.275 0.173
