# From S. GORIELY, N. CHAMEL, AND J. M. PEARSON. PHYSICAL REVIEW C 93, 034337 (2016)
# LP  BSk31
G0    0.36551
G0p   0.96946
kF    1.328
ms/m  0.840
Ksat  244.01
Esym  31.00

