#      rho            V(S=0,I=0)    V(S=0,I=1)     V(S=1,I=0)      V(S=1,I=1)    V_Total          FFG          E_total

   0.100000E-01   0.133473E+00  -0.232471E+01  -0.520356E+01   0.794375E-02  -0.738685E+01   0.348172E+01  -0.390513E+01
   0.500000E-01   0.106856E+01  -0.789574E+01  -0.126109E+02  -0.120388E+00  -0.195584E+02   0.101806E+02  -0.937782E+01
   0.750000E-01   0.179407E+01  -0.106406E+02  -0.156833E+02  -0.187201E+00  -0.247170E+02   0.133404E+02  -0.113766E+02
   0.100000E+00   0.255678E+01  -0.132958E+02  -0.188464E+02  -0.281898E+00  -0.298674E+02   0.161607E+02  -0.137067E+02
   0.125000E+00   0.336522E+01  -0.158244E+02  -0.215834E+02  -0.325954E+00  -0.343685E+02   0.187528E+02  -0.156157E+02
   0.150000E+00   0.421400E+01  -0.182701E+02  -0.240960E+02  -0.317701E+00  -0.384698E+02   0.211765E+02  -0.172933E+02
   0.175000E+00   0.509025E+01  -0.206411E+02  -0.264261E+02  -0.260716E+00  -0.422377E+02   0.234685E+02  -0.187692E+02
   0.200000E+00   0.598120E+01  -0.229385E+02  -0.285991E+02  -0.162488E+00  -0.457189E+02   0.256535E+02  -0.200653E+02
   0.250000E+00   0.779527E+01  -0.273413E+02  -0.325596E+02   0.162209E+00  -0.519435E+02   0.297683E+02  -0.221752E+02
   0.300000E+00   0.968762E+01  -0.315795E+02  -0.361659E+02   0.705827E+00  -0.573519E+02   0.336156E+02  -0.237363E+02
   0.350000E+00   0.116664E+02  -0.357135E+02  -0.395293E+02   0.147840E+01  -0.620980E+02   0.372540E+02  -0.248441E+02
   0.400000E+00   0.137044E+02  -0.397428E+02  -0.426959E+02   0.244984E+01  -0.662845E+02   0.407224E+02  -0.255620E+02
