#      rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total           FFG          E_total

   0.100000E-01   0.948226E-01  -0.231299E+01  -0.545598E+01   0.301517E-01  -0.764400E+01   0.348172E+01  -0.416228E+01
   0.500000E-01   0.759443E+00  -0.787285E+01  -0.129725E+02   0.530874E-01  -0.200329E+02   0.101806E+02  -0.985224E+01
   0.750000E-01   0.130382E+01  -0.105778E+02  -0.160370E+02   0.803897E-01  -0.252307E+02   0.133404E+02  -0.118903E+02
   0.100000E+00   0.190472E+01  -0.131729E+02  -0.190469E+02   0.808512E-01  -0.302342E+02   0.161607E+02  -0.140735E+02
   0.125000E+00   0.256778E+01  -0.156346E+02  -0.217267E+02   0.108543E+00  -0.346849E+02   0.187528E+02  -0.159321E+02
   0.150000E+00   0.328683E+01  -0.180032E+02  -0.242312E+02   0.163951E+00  -0.387836E+02   0.211765E+02  -0.176071E+02
   0.175000E+00   0.405120E+01  -0.202709E+02  -0.264527E+02   0.264643E+00  -0.424078E+02   0.234685E+02  -0.189393E+02
   0.200000E+00   0.484563E+01  -0.224459E+02  -0.284941E+02   0.395337E+00  -0.456991E+02   0.256535E+02  -0.200456E+02
   0.250000E+00   0.650680E+01  -0.265470E+02  -0.321301E+02   0.758647E+00  -0.514117E+02   0.297683E+02  -0.216434E+02
   0.300000E+00   0.828861E+01  -0.304060E+02  -0.353145E+02   0.130841E+01  -0.561234E+02   0.336156E+02  -0.225078E+02
   0.350000E+00   0.101907E+02  -0.340776E+02  -0.381622E+02   0.206304E+01  -0.599861E+02   0.372540E+02  -0.227321E+02
   0.400000E+00   0.121821E+02  -0.375663E+02  -0.407228E+02   0.300121E+01  -0.631058E+02   0.407224E+02  -0.223834E+02
