#        rho       V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)       V_Total          FFG         E_total

   0.100000E-01   0.134272E+00  -0.224964E+01  -0.502261E+01   0.144221E-01  -0.712355E+01   0.348172E+01  -0.364184E+01
   0.500000E-01   0.106392E+01  -0.765711E+01  -0.121361E+02  -0.824330E-01  -0.188117E+02   0.101806E+02  -0.863108E+01
   0.750000E-01   0.177990E+01  -0.102978E+02  -0.151001E+02  -0.135508E+00  -0.237535E+02   0.133404E+02  -0.104131E+02
   0.100000E+00   0.253418E+01  -0.127987E+02  -0.177306E+02  -0.180196E+00  -0.281753E+02   0.161607E+02  -0.120146E+02
   0.125000E+00   0.333165E+01  -0.151734E+02  -0.201442E+02  -0.186465E+00  -0.321725E+02   0.187528E+02  -0.134196E+02
   0.150000E+00   0.416714E+01  -0.174621E+02  -0.224169E+02  -0.147692E+00  -0.358596E+02   0.211765E+02  -0.146830E+02
   0.175000E+00   0.503097E+01  -0.196409E+02  -0.243568E+02  -0.329908E-01  -0.389997E+02   0.234685E+02  -0.155312E+02
   0.200000E+00   0.590887E+01  -0.217235E+02  -0.261100E+02   0.136505E+00  -0.417881E+02   0.256535E+02  -0.161346E+02
   0.250000E+00   0.769122E+01  -0.256243E+02  -0.291463E+02   0.647720E+00  -0.464317E+02   0.297683E+02  -0.166634E+02
   0.300000E+00   0.955096E+01  -0.292563E+02  -0.317025E+02   0.144927E+01  -0.499586E+02   0.336156E+02  -0.163430E+02
   0.350000E+00   0.115024E+02  -0.326645E+02  -0.338899E+02   0.256009E+01  -0.524919E+02   0.372540E+02  -0.152379E+02
   0.400000E+00   0.135156E+02  -0.358472E+02  -0.357553E+02   0.395768E+01  -0.541292E+02   0.407224E+02  -0.134068E+02
