#      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)       V_Total         FFG          E_total

   0.100000E-01   0.134313E+00  -0.223472E+01  -0.498670E+01   0.132334E-01  -0.707387E+01   0.348172E+01  -0.359215E+01
   0.500000E-01   0.106472E+01  -0.761261E+01  -0.120694E+02  -0.957628E-01  -0.187130E+02   0.101806E+02  -0.853241E+01
   0.750000E-01   0.178163E+01  -0.102402E+02  -0.150203E+02  -0.159301E+00  -0.236382E+02   0.133404E+02  -0.102978E+02
   0.100000E+00   0.253711E+01  -0.127301E+02  -0.176462E+02  -0.216206E+00  -0.280554E+02   0.161607E+02  -0.118947E+02
   0.125000E+00   0.333562E+01  -0.150942E+02  -0.200528E+02  -0.235638E+00  -0.320470E+02   0.187528E+02  -0.132942E+02
   0.150000E+00   0.417252E+01  -0.173726E+02  -0.223173E+02  -0.210906E+00  -0.357284E+02   0.211765E+02  -0.145518E+02
   0.175000E+00   0.503794E+01  -0.195416E+02  -0.242521E+02  -0.110660E+00  -0.388664E+02   0.234685E+02  -0.153979E+02
   0.200000E+00   0.591756E+01  -0.216147E+02  -0.260012E+02   0.438753E-01  -0.416545E+02   0.256535E+02  -0.160010E+02
   0.250000E+00   0.770417E+01  -0.254979E+02  -0.290304E+02   0.524399E+00  -0.462998E+02   0.297683E+02  -0.165315E+02
   0.300000E+00   0.956957E+01  -0.291137E+02  -0.315816E+02   0.129437E+01  -0.498313E+02   0.336156E+02  -0.162157E+02
   0.350000E+00   0.115253E+02  -0.325072E+02  -0.337655E+02   0.237375E+01  -0.523737E+02   0.372540E+02  -0.151197E+02
   0.400000E+00   0.135439E+02  -0.356765E+02  -0.356292E+02   0.373987E+01  -0.540218E+02   0.407224E+02  -0.132994E+02
