#       rho          V(S=0,I=0)    V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG          E_total

   0.100000E-01   0.131834E+00  -0.233047E+01  -0.515811E+01   0.553802E-02  -0.735121E+01   0.348172E+01  -0.386949E+01
   0.500000E-01   0.105827E+01  -0.782744E+01  -0.123034E+02  -0.130253E+00  -0.192028E+02   0.101806E+02  -0.902222E+01
   0.750000E-01   0.177700E+01  -0.104975E+02  -0.152812E+02  -0.201705E+00  -0.242034E+02   0.133404E+02  -0.108630E+02
   0.100000E+00   0.253577E+01  -0.130293E+02  -0.180379E+02  -0.267710E+00  -0.287991E+02   0.161607E+02  -0.126384E+02
   0.125000E+00   0.333975E+01  -0.154179E+02  -0.204444E+02  -0.279439E+00  -0.328020E+02   0.187528E+02  -0.140492E+02
   0.150000E+00   0.418467E+01  -0.176936E+02  -0.225801E+02  -0.224887E+00  -0.363139E+02   0.211765E+02  -0.151374E+02
   0.175000E+00   0.505805E+01  -0.198633E+02  -0.244879E+02  -0.106819E+00  -0.394000E+02   0.234685E+02  -0.159315E+02
   0.200000E+00   0.594758E+01  -0.219277E+02  -0.261927E+02   0.681546E-01  -0.421047E+02   0.256535E+02  -0.164512E+02
   0.250000E+00   0.776377E+01  -0.257661E+02  -0.290784E+02   0.596375E+00  -0.464843E+02   0.297683E+02  -0.167160E+02
   0.300000E+00   0.966473E+01  -0.293003E+02  -0.314036E+02   0.141791E+01  -0.496213E+02   0.336156E+02  -0.160056E+02
   0.350000E+00   0.116594E+02  -0.325764E+02  -0.332794E+02   0.255469E+01  -0.516417E+02   0.372540E+02  -0.143878E+02
   0.400000E+00   0.137222E+02  -0.355938E+02  -0.347548E+02   0.398279E+01  -0.526436E+02   0.407224E+02  -0.119212E+02
