#       rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG           E_total

   0.100000E-01   0.134297E+00  -0.224112E+01  -0.500293E+01   0.138792E-01  -0.709587E+01   0.348172E+01  -0.361415E+01
   0.500000E-01   0.106434E+01  -0.763367E+01  -0.121073E+02  -0.888490E-01  -0.187655E+02   0.101806E+02  -0.858492E+01
   0.750000E-01   0.178081E+01  -0.102675E+02  -0.150653E+02  -0.146892E+00  -0.236989E+02   0.133404E+02  -0.103585E+02
   0.100000E+00   0.253576E+01  -0.127626E+02  -0.176937E+02  -0.197447E+00  -0.281179E+02   0.161607E+02  -0.119572E+02
   0.125000E+00   0.333375E+01  -0.151317E+02  -0.201038E+02  -0.210049E+00  -0.321118E+02   0.187528E+02  -0.133590E+02
   0.150000E+00   0.416998E+01  -0.174148E+02  -0.223727E+02  -0.178023E+00  -0.357955E+02   0.211765E+02  -0.146190E+02
   0.175000E+00   0.503465E+01  -0.195883E+02  -0.243099E+02  -0.703252E-01  -0.389338E+02   0.234685E+02  -0.154653E+02
   0.200000E+00   0.591346E+01  -0.216657E+02  -0.260609E+02   0.918852E-01  -0.417213E+02   0.256535E+02  -0.160677E+02
   0.250000E+00   0.769810E+01  -0.255568E+02  -0.290931E+02   0.587988E+00  -0.463639E+02   0.297683E+02  -0.165956E+02
   0.300000E+00   0.956077E+01  -0.291797E+02  -0.316460E+02   0.137393E+01  -0.498910E+02   0.336156E+02  -0.162754E+02
   0.350000E+00   0.115148E+02  -0.325795E+02  -0.338307E+02   0.246908E+01  -0.524263E+02   0.372540E+02  -0.151723E+02
   0.400000E+00   0.135302E+02  -0.357544E+02  -0.356940E+02   0.385079E+01  -0.540674E+02   0.407224E+02  -0.133450E+02
