#        rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG          E_total

   0.100000E-01   0.132381E+00  -0.233907E+01  -0.526207E+01   0.102112E-01  -0.745855E+01   0.348172E+01  -0.397683E+01
   0.500000E-01   0.105448E+01  -0.799888E+01  -0.127848E+02  -0.116097E+00  -0.198453E+02   0.101806E+02  -0.966470E+01
   0.750000E-01   0.177226E+01  -0.107034E+02  -0.156504E+02  -0.167211E+00  -0.247487E+02   0.133404E+02  -0.114083E+02
   0.100000E+00   0.253024E+01  -0.133306E+02  -0.185364E+02  -0.224459E+00  -0.295612E+02   0.161607E+02  -0.134004E+02
   0.125000E+00   0.333480E+01  -0.158279E+02  -0.211767E+02  -0.240169E+00  -0.339100E+02   0.187528E+02  -0.151572E+02
   0.150000E+00   0.418290E+01  -0.182278E+02  -0.235923E+02  -0.195820E+00  -0.378330E+02   0.211765E+02  -0.166565E+02
   0.175000E+00   0.506226E+01  -0.205384E+02  -0.258260E+02  -0.941864E-01  -0.413963E+02   0.234685E+02  -0.179277E+02
   0.200000E+00   0.596086E+01  -0.227611E+02  -0.279023E+02   0.579507E-01  -0.446445E+02   0.256535E+02  -0.189910E+02
   0.250000E+00   0.780387E+01  -0.269825E+02  -0.317063E+02   0.505586E+00  -0.503794E+02   0.297683E+02  -0.206111E+02
   0.300000E+00   0.974659E+01  -0.309622E+02  -0.350837E+02   0.122492E+01  -0.550744E+02   0.336156E+02  -0.214587E+02
   0.350000E+00   0.117956E+02  -0.347577E+02  -0.381809E+02   0.221917E+01  -0.589238E+02   0.372540E+02  -0.216698E+02
   0.400000E+00   0.139254E+02  -0.383699E+02  -0.410342E+02   0.346456E+01  -0.620142E+02   0.407224E+02  -0.212918E+02
