# Set           Rn (fm)      Rp (fm)      Rn-Rp (fm)
NL3             3.6045       3.3783       0.2262
NL-SH           3.5827       3.3670       0.2157
NL3II           3.5987       3.3721       0.2266
TM1             3.6109       3.3843       0.2266
PK1             3.5857       3.3596       0.2261
