# Set           Rn (fm)      Rp (fm)      Rn-Rp (fm)
NL3             5.7390       5.4588       0.2802
NL-SH           5.7105       5.4451       0.2654
NL3II           5.7295       5.4477       0.2818
TM1             5.7534       5.4834       0.2700
PK1             5.7210       5.4426       0.2784
