curie	label	parent_1	parent_1_label	parent_2	parent_2_label
QUALO:0000001	qualification	PATO:0000001	quality		
QUALO:0000002	academic degree	QUALO:0000001	qualification		
QUALO:0000003	bachelor's degree	QUALO:0000006	undergraduate degree		
QUALO:0000004	master's degree	QUALO:0000007	graduate degree		
QUALO:0000005	doctoral degree	QUALO:0000007	graduate degree		
QUALO:0000006	undergraduate degree	QUALO:0000023	academic degree by progression		
QUALO:0000007	graduate degree	QUALO:0000023	academic degree by progression		
QUALO:0000008	associate's degree	QUALO:0000006	undergraduate degree		
QUALO:0000009	academic degree with honors	QUALO:0000022	academic degree by distinction		
QUALO:0000010	honarary academic degree	QUALO:0000001	qualification		
QUALO:0000011	bachelor's degree with honors	QUALO:0000009	academic degree with honors	QUALO:0000003	bachelor's degree
QUALO:0000012	honorary bachelor's degree	QUALO:0000010	honarary degree	QUALO:0000003	bachelor's degree
QUALO:0000013	honorary master's degree	QUALO:0000010	honarary degree	QUALO:0000004	master's degree
QUALO:0000014	honorary doctoral degree	QUALO:0000010	honarary degree	QUALO:0000005	doctoral degree
QUALO:0000015	master's degree with honors	QUALO:0000009	academic degree with honors	QUALO:0000004	master's degree
QUALO:0000016	doctor of philosophy	QUALO:0000005	doctoral degree		
QUALO:0000017	honorary doctor of philosophy	QUALO:0000014	honorary doctoral degree	QUALO:0000016	doctor of philosophy
QUALO:0000019	doctor of philosophy in mathematics	QUALO:0000016	doctor of philosophy		
QUALO:0000020	doctor of philosophy in history	QUALO:0000016	doctor of philosophy		
QUALO:0000021	academic degree by discipline	QUALO:0000002	academic degree		
QUALO:0000022	academic degree by distinction	QUALO:0000002	academic degree		
QUALO:0000023	academic degree by progression	QUALO:0000002	academic degree		
QUALO:0000024	bachelor of science	QUALO:0000003	bachelor's degree		
QUALO:0000025	bachelor of nursing	QUALO:0000003	bachelor's degree		
QUALO:0000026	bachelor of veterinary science	QUALO:0000003	bachelor's degree		
QUALO:0000027	bachelor of pharmacy	QUALO:0000003	bachelor's degree		
QUALO:0000028	bachelor of engineering	QUALO:0000003	bachelor's degree		
QUALO:0000029	bachelor of education	QUALO:0000003	bachelor's degree		
QUALO:0000030	bachelor of architecture	QUALO:0000003	bachelor's degree		
QUALO:0000031	bachelor of arts	QUALO:0000003	bachelor's degree		
QUALO:0000032	bachelor of law	QUALO:0000003	bachelor's degree		
QUALO:0000033	bachelor of medicine; bachelor of surgery	QUALO:0000003	bachelor's degree		
QUALO:0000034	bachelor of technology	QUALO:0000003	bachelor's degree		
QUALO:0000035	bachelor of science in nursing	QUALO:0000024	bachelor of science		
