text	curie	name	predicate	type	contributor	date	language
A.B.	QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Abilitazione scientifica nazionale	QUALO:0000203	habilitation	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-11-05	it
Artium Baccalaureus	QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B. Pharmacy	QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B. Sc.	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
B. Sc. in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.A. Biology	QUALO:0000080	bachelor of arts in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Arch	QUALO:0000030	bachelor of architecture	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.E.	QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	OMO:0003000	orcid:0000-0003-4423-4370	2024-10-27	en
B.Ed	QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Ed.	QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Eng	QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Eng.	QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Pharm	QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Pharmacy	QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S.	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
B.S. Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. Biological Sciences	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. Biology	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. degree	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
B.S. Geology	QUALO:0000044	bachelor of science in geology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
B.S. in Biochemistry and Molecular Biology	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
B.S. in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
B.S. Mechanical Engineering	QUALO:0000045	bachelor of science in mechanical engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. Neuroscience	QUALO:0000047	bachelor of science in neuroscience	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.S. Physics	QUALO:0000042	bachelor of science in physics	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Sc	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
B.Sc in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
B.Sc. in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
B.Sc. in Biotechnology	QUALO:0000130	bachelor of science in biotechnology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Sc. in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Sc. in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
B.Sc. in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
B.Tech	QUALO:0000034	bachelor of technology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA	QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA (Hons)	QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA (Hons) in Psychology	QUALO:0000190	bachelor of arts in psychology with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
BA Biology	QUALO:0000080	bachelor of arts in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA Economics	QUALO:0000115	bachelor of arts in economics	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA English	QUALO:0000127	bachelor of arts in english	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA Honours	QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym	OMO:0003005	orcid:0000-0003-4423-4370	2024-10-27	en
BA Honours in Psychology	QUALO:0000190	bachelor of arts in psychology with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
BA Hons	QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BA in Psychology	QUALO:0000128	bachelor of arts in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
BA in Public Administration	QUALO:0000178	bachelor of public administration	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
BA Psychology	QUALO:0000128	bachelor of arts in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachalor	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	de
Bacharel	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
