# Skyrme       rho0      B0        K0         Q0        Z0           Jsym       Lsym      Ksym        Qsym        Zsym        m*s        kappas     kappav
BSK14          0.1586   -15.8531   239.3441  -358.6562  1434.6999    30.0002    43.9241  -152.0936   388.5656 -2190.6037     0.8000     0.2501     0.2772
BSK16          0.1586   -16.0532   241.6726  -363.5624  1459.7215    30.0003    34.8894  -187.4643   462.2382 -2565.8038     0.8000     0.2501     0.2788
BSK17          0.1586   -16.0547   241.6857  -363.5954  1459.8904    30.0003    36.2985  -181.9244   450.8132 -2507.7336     0.8000     0.2501     0.2782
BSK27          0.1586   -16.0505   241.6553  -363.5079  1459.4432    30.0000    28.5069  -221.5341   487.9156 -2650.8928     0.8000     0.2501     0.3926
SKGSIGMA       0.1576   -15.5877   237.2519  -348.7068  1379.4319    31.3726    94.0201    13.9831   -26.7389    -4.8908     0.7840     0.2755     0.4760
SKRSIGMA       0.1577   -15.5873   237.3913  -348.3948  1377.1022    30.5842    85.6796    -9.1358    22.2429  -255.0596     0.7827     0.2775     0.4775
LNS            0.1746   -15.3136   210.7857  -382.5238  1748.6204    33.4263    61.4691  -127.4134   302.6637 -1766.3380     0.8258     0.2109     0.3751
NRAPR          0.1606   -15.8514   225.6646  -362.5279  1611.0951    32.7846    59.6508  -123.3825   311.8465 -1837.5371     0.6937     0.4416     0.6584
RATP           0.1598   -16.0460   239.5167  -349.8086  1451.8535    29.2578    32.3881  -191.1279   440.3605 -2476.8347     0.6671     0.4988     0.7767
SIII           0.1453   -15.8513   355.3754   101.3885  -903.0488    28.1620     9.9111  -393.8960   130.5325  -798.8523     0.7628     0.3109     0.5255
SV             0.1551   -16.0478   305.6799  -175.7600   183.3707    32.8246    96.0976    24.1789    48.0098  -480.8314     0.3829     1.6118     2.0154
SGII           0.1583   -15.5940   214.6510  -380.8947  1741.6191    26.8303    37.6211  -145.8278   330.1648 -1890.8044     0.7856     0.2728     0.4929
SKI1           0.1603   -15.9331   242.5487  -345.6736  1382.1705    37.5100   160.9492   234.4724  -327.6736  1391.1698     0.6934     0.4423     0.2499
SKI2           0.1575   -15.7570   240.7237  -339.2832  1349.0436    33.3689   104.3223    70.6270    51.7712  -610.4701     0.6852     0.4596     0.2443
SKI3           0.1577   -15.9619   258.0101  -303.4905  1086.2851    34.8307   100.5153    72.9606   211.7067 -1615.5501     0.5776     0.7315     0.2455
SKI4           0.1601   -15.9267   247.7449  -330.7994  1277.7158    29.5039    60.4080   -40.6243   351.4308 -2234.9213     0.6497     0.5394     0.2489
SKI5           0.1557   -15.8279   255.5782  -301.5576  1081.5618    36.6347   129.2795   159.4313    11.8816  -559.8017     0.5790     0.7271     0.2440
SKMP           0.1570   -15.5604   230.8828  -338.0346  1423.5443    29.8859    70.2922   -49.7951   159.3261 -1019.9906     0.6535     0.5300     0.7095
SKO            0.1605   -15.8347   223.3613  -392.8599  1720.2941    31.9710    79.1179   -43.1402   131.0110  -850.6002     0.8960     0.1160     0.1743
SLY230A        0.1600   -15.9880   229.9107  -364.1825  1593.5115    31.9863    44.3247   -98.2425   603.1102 -3785.6227     0.6969     0.4350     0.0000
SLY230B        0.1595   -15.9719   229.9151  -363.0837  1586.6960    32.0075    45.9560  -119.6610   521.1057 -3197.5505     0.6947     0.4394     0.2499
SLY4           0.1595   -15.9719   229.9148  -363.0842  1586.6979    32.0119    45.9880  -119.5623   521.0252 -3197.2732     0.6947     0.4394     0.2496
SLY5           0.1604   -15.9833   229.9628  -363.9730  1591.7181    32.0273    48.2848  -112.4098   500.9827 -3087.0400     0.6969     0.4351     0.2499
SKM*           0.1602   -15.7523   216.4439  -385.6570  1766.4000    30.0364    45.7952  -155.8199   330.2580 -1867.6306     0.7888     0.2678     0.5307
SKP            0.1625   -15.9541   201.0341  -435.5587  2127.5641    30.0002    19.6613  -266.5508   508.1375 -2747.7405     1.0000    -0.0000     0.3499
Skz2           0.1600   -16.0044   230.1072  -365.2347  1597.6483    32.0081    16.8062  -259.6002   682.4053 -3893.8707     0.7000     0.4286     0.5741
FPL            0.1619   -15.9226   217.0589  -399.4512  1832.7814    30.9308    42.7669  -135.6185   485.9009 -2912.9676     0.8436     0.1855     0.0280
T6             0.1609   -15.9635   235.9693  -383.1506  1560.7661    29.9667    30.8617  -211.6384   472.7225 -2561.6112     1.0000     0.0000     0.0000
SKX            0.1554   -16.0506   271.0816  -297.4161   903.9141    31.0986    33.1764  -251.9969   379.4035 -1888.9076     0.9931     0.0069     0.3341
MSK5*          0.1561   -15.7808   243.7422  -346.1305  1328.3848    27.9998     7.0230  -290.7662   595.4557 -3136.7364     0.8000     0.2501     0.4287
T44            0.1612   -16.0169   230.0255  -365.9015  1603.3388    32.0004    50.0417  -106.7066   481.2656 -2971.8144     0.7006     0.4273     0.2499
F0             0.1617   -16.0310   230.0084  -405.4248  1705.4308    32.0001    42.4240  -113.4835   657.9636 -3870.4736     0.7000     0.4287     0.4301
F+             0.1618   -16.0413   230.0252  -406.1566  1709.5985    32.0004    41.5280  -117.9186   660.5848 -3875.1729     0.7000     0.4285     0.5999
F-             0.1616   -16.0230   230.0156  -404.9084  1702.4033    32.0003    43.7914  -105.1025   655.1356 -3869.4688     0.7000     0.4286     0.1500
LNS1           0.1616   -15.9046   244.2240  -324.6300  1299.2266    29.9126    30.9236  -211.3894   444.4040 -2470.8806     0.6037     0.6562     1.0925
LNS5           0.1599   -15.5650   240.2450  -316.0942  1255.1310    29.1520    50.9341  -119.0363   285.8467 -1670.5984     0.6031     0.6580     0.9651
SLYIII07       0.1528   -16.3294   361.4077    79.8117  -833.6983    31.9808    30.7828  -340.5427   110.3874  -727.7708     0.7004     0.4278     0.6125
SLYIII08       0.1527   -16.3187   368.8282   117.8596  -985.7101    31.6934    28.2407  -343.9461   143.2159  -858.7949     0.8000     0.2500     0.4676
SLYIII09       0.1527   -16.3080   374.5287   147.5246 -1104.3702    31.4354    24.7514  -356.4174   162.3329  -935.2729     0.8997     0.1115     0.3365
SLYIII10       0.1530   -16.3081   379.4016   171.6476 -1201.6701    31.3085    23.4957  -356.7975   184.5720 -1023.9514     0.9998     0.0002     0.2500
SAMI           0.1587   -15.9261   245.0050  -338.6849  1330.5087    28.1620    43.6815  -119.9277   371.8603 -2179.1207     0.6752     0.4810     0.5061
SKOP           0.1602   -15.7499   222.3165  -390.7309  1709.5709    31.9476    68.9436   -78.8406   223.4718 -1348.6511     0.8962     0.1159     0.1480
UNEDF0         0.1605   -16.0559   230.0195  -403.6671  1706.5756    30.5433    45.0715  -189.6073   287.7375 -1495.4587     1.1111    -0.1000     0.2498
