#reference: preliminary, to be published Nature Physics, 15 (2019) 1, Phys. Rev. C, 95 (2017) 064328, Phys.Rev. C, 79 (2009) 034310 for all.
#parametrization  rho_0    E/A       K      Q_skew     m*/m     a_sym    a'_sym  kappa_TRK=kappav    
SLy4            0.1595  -15.972    229.9  -356.20    0.6947    32.00    45.94   0.25
SkM*            0.1602  -15.752    216.4  -389.53    0.7888    30.04    45.80   0.53
SV-min          0.1611  -15.910    221.8  -402.25    0.9518    30.66    44.81   0.08
SV-bas          0.1596  -15.904    233.4  -376.87    0.8997    30.00    32.37   0.4
SV-K218         0.1615  -15.898    218.2  -398.50    0.8986    30.00    34.63   0.4
SV-K226         0.1605  -15.901    225.9  -392.03    0.8992    30.00    34.09   0.4
SV-K241         0.1588  -15.907    241.1  -364.77    0.9001    30.00    30.96   0.4
SV-mas07        0.1599  -15.889    233.5  -355.42    0.6997    30.00    52.15   0.4
SV-mas08        0.1597  -15.898    233.2  -370.54    0.7994    30.00    40.15   0.4
SV-mas10        0.1594  -15.908    234.3  -380.68    1.0000    30.00    28.04   0.4
SV-sym28        0.1595  -15.861    232.9  -377.41    0.8997    28.00     7.21   0.4
SV-sym32        0.1595  -15.938    233.8  -385.25    0.8997    32.00    57.07   0.4
SV-sym34        0.1592  -15.965    234.1  -380.67    0.8999    34.00    80.95   0.4
SV-kap00        0.1598  -15.900    233.5  -381.04    0.8996    30.00    40.18   0.0
SV-kap20        0.1597  -15.902    233.4  -379.09    0.8996    30.00    35.54   0.2
SV-kap60        0.1595  -15.906    233.5  -380.21    0.8997    30.00    29.34   0.6
